dataSheet,pointID,site,resurveyed,latitudeDD,longitudeDD,observer,date,wind,noise,cloudCover,timeOfDay,people,notes
95,191,CA,0,38.4323,-121.44892,CLR,22-Jan-2021,3,76,30%,9:57,1-5,No grackles
96,N190,CA,0,38.43242,-121.45444,CLR,22-Jan-2021,3,71,40%,10:09,0,No grackles
97,N205,CA,0,38.4279,-121.45504,CLR,22-Jan-2021,3,80,50%,10:25,1-5,No grackles
98,N206,CA,0,38.42738,-121.44894,CLR,22-Jan-2021,3,68,60%,10:38,0,No grackles
99,N207,CA,0,38.42795,-121.44324,CLR,22-Jan-2021,3,58,90%,11:07,1-5,No grackles
100,N208,CA,0,38.42748,-121.43729,CLR,22-Jan-2021,3,54,100%,11:20,0,No grackles
101,209,CA,0,38.4276,-121.43195,CLR,22-Jan-2021,2,52,100%,11:32,1-5,No grackles
102,210,CA,0,38.42747,-121.42602,CLR,22-Jan-2021,2,66,100%,11:45,0,No grackles
103,225,CA,0,38.42301,-121.4262,CLR,22-Jan-2021,2,76,100%,12:00,1-5,No grackles
104,221,CA,0,38.42334,-121.44911,CLR,22-Jan-2021,2,74,100%,12:40,0,No grackles
105,220,CA,0,38.42337,-121.45485,CLR,22-Jan-2021,3,79,100%,12:50,0,No grackles
106,222,CA,0,38.42318,-121.44339,CLR,22-Jan-2021,2,81,100%,13:08,0,No grackles
107,223,CA,0,38.42316,-121.43764,CLR,22-Jan-2021,2,81,100%,13:21,1-5,No grackles
108,224,CA,0,38.42317,-121.43192,CLR,22-Jan-2021,2,83,100%,13:35,0,No grackles
109,N128,CA,0,38.45049,-121.4657,CLR,25-Jan-2021,2,75,90%,8:31,1-5,No grackles
110,N143,CA,0,38.44631,-121.46488,CLR,25-Jan-2021,2,83,90%,8:45,1-5,No grackles
111,N142,CA,0,38.44679,-121.47162,CLR,25-Jan-2021,1,65,90%,8:58,1-5,No grackles
112,N141,CA,0,38.44706,-121.47731,CLR,25-Jan-2021,1,58,90%,9:10,1-5,No grackles
113,140,CA,0,38.44629,-121.483,CLR,25-Jan-2021,1,87,80%,9:29,1-5,No grackles
114,N111,CA,0,38.45505,-121.47643,CLR,25-Jan-2021,1,60,70%,9:54,1-5,No grackles
115,N112,CA,0,38.45515,-121.4711,CLR,25-Jan-2021,2,65,70%,10:06,1-5,No grackles
116,N113,CA,0,38.45557,-121.46565,CLR,25-Jan-2021,3,76,80%,10:20,1-5,No grackles
117,N126,CA,0,38.451,-121.47725,CLR,25-Jan-2021,3,93,80%,10:36,1-5,No grackles
118,156,CA,0,38.44172,-121.47751,CLR,25-Jan-2021,3,76,70%,10:51,1-5,No grackles
119,171,CA,0,38.4372,-121.47747,CLR,25-Jan-2021,3,83,60%,11:08,1-5,No grackles
120,N129,CA,0,38.45044,-121.46038,CLR,25-Jan-2021,3,82,50%,11:29,1-5,No grackles
121,204,CA,0,38.42797,-121.46047,CLR,25-Jan-2021,3,58,40%,12:01,0,No grackles
122,219,CA,0,38.42354,-121.46055,CLR,25-Jan-2021,3,92,30%,12:12,0,No grackles
123,N218,CA,0,38.42391,-121.46632,CLR,25-Jan-2021,3,56,30%,12:24,1-5,No grackles
124,217,CA,0,38.42364,-121.47202,CLR,25-Jan-2021,3,64,30%,12:37,1-5,No grackles
125,216,CA,0,38.42367,-121.47774,CLR,25-Jan-2021,3,79,20%,12:51,0,No grackles
126,215,CA,0,38.42382,-121.48347,CLR,25-Jan-2021,4,90,20%,13:04,0,No grackles
127,200,CA,0,38.42838,-121.48337,CLR,25-Jan-2021,3,96,20%,13:19,0,No grackles
128,201,CA,0,38.42823,-121.47765,CLR,25-Jan-2021,3,76,20%,13:30,0,No grackles
129,203,CA,0,38.42807,-121.46559,CLR,25-Jan-2021,3,79,20%,13:53,1-5,No grackles
130,158,CA,0,38.44157,-121.46606,CLR,26-Jan-2021,1,70,5%,8:27,1-5,No grackles
131,N157,CA,0,38.44244,-121.47153,CLR,26-Jan-2021,1,71,5%,8:37,1-5,No grackles
132,N155,CA,0,38.4418,-121.48278,CLR,26-Jan-2021,1,55,0%,8:55,1-5,No grackles
133,170,CA,0,38.43728,-121.48311,CLR,26-Jan-2021,1,65,0%,9:10,1-5,No grackles
134,169,CA,0,38.43745,-121.48895,CLR,26-Jan-2021,1,78,0%,9:22,1-5,No grackles
135,185,CA,0,38.43288,-121.48326,CLR,26-Jan-2021,2,74,0%,9:34,1-5,No grackles
136,N186,CA,0,38.43295,-121.47863,CLR,26-Jan-2021,2,58,0%,9:56,0,No grackles
137,N187,CA,0,38.43311,-121.47177,CLR,26-Jan-2021,2,58,10%,10:15,1-5,No grackles
138,N188,CA,0,38.43301,-121.46657,CLR,26-Jan-2021,2,74,30%,10:30,1-5,No grackles
139,N172,CA,0,38.43804,-121.47178,CLR,26-Jan-2021,3,70,50%,10:52,1-5,No grackles
140,N173,CA,0,38.43801,-121.46656,CLR,26-Jan-2021,3,73,70%,11:03,1-5,No grackles
141,N189,CA,0,38.43241,-121.46251,CLR,26-Jan-2021,3,80,90%,11:23,1-5,No grackles
142,202,CA,0,38.42806,-121.47192,CLR,26-Jan-2021,2,82,100%,11:42,0,No grackles
143,78,CA,0,38.46445,-121.49408,CLR,29-Jan-2021,1,72,100%,8:27,1-5,Majority of birds flying over toward Panera parking lot
144,93,CA,0,38.45996,-121.49416,CLR,29-Jan-2021,1,79,100%,8:42,0,Saw flying toward golf course across I-5
145,94,CA,0,38.45987,-121.48846,CLR,29-Jan-2021,1,72,100%,8:58,0,
146,95,CA,0,38.4598,-121.48272,CLR,29-Jan-2021,1,62,100%,9:11,0,"Male and female sitting in same tree together on arrival to point, stayed throughout survey"
147,81,CA,0,38.46432,-121.47689,CLR,29-Jan-2021,1,76,100%,9:27,0,Foraging in grass with RWBL and YBMA on arrival to point
148,82,CA,0,38.46408,-121.47118,CLR,29-Jan-2021,1,83,100%,9:43,0,No grackles
149,83,CA,0,38.46408,-121.46543,CLR,29-Jan-2021,1,81,100%,10:01,0,No grackles
150,80,CA,0,38.46428,-121.48262,CLR,29-Jan-2021,1,77,100%,10:49,0,Perching on lamppost next to RC Wiley
151,79,CA,0,38.46442,-121.48834,CLR,29-Jan-2021,1,67,100%,11:04,0,Back of Panera parking lot near dumpsters
152,53,CA,0,38.47309,-121.46524,CLR,29-Jan-2021,1,52,90%,11:35,1-5,No grackles
153,N68,CA,0,38.46869,-121.46585,CLR,29-Jan-2021,1,52,90%,11:47,0,No grackles
154,49,CA,0,38.4734,-121.48814,CLR,29-Jan-2021,1,53,90%,12:20,1-5,No grackles
155,N48,CA,0,38.47344,-121.49423,CLR,29-Jan-2021,1,56,70%,12:33,1-5,No grackles
156,N47,CA,0,38.47341,-121.49948,CLR,29-Jan-2021,1,57,60%,12:48,1-5,No grackles
157,50,CA,0,38.47333,-121.48243,CLR,01-Feb-2021,1,55,25%,8:30,0,No grackles
158,51,CA,0,38.47324,-121.4767,CLR,01-Feb-2021,1,55,25%,8:46,0,No grackles
159,N66,CA,0,38.46889,-121.47808,CLR,01-Feb-2021,2,57,30%,9:03,0,No grackles
160,65,CA,0,38.46881,-121.48253,CLR,01-Feb-2021,2,56,30%,9:18,0,No grackles
161,64,CA,0,38.46888,-121.48826,CLR,01-Feb-2021,2,62,30%,9:34,0,By Cinema/Panera far away
162,63,CA,0,38.46896,-121.49399,CLR,01-Feb-2021,2,71,30%,9:50,0,On tree near cinema
163,N52,CA,0,38.47321,-121.46843,CLR,01-Feb-2021,2,67,70%,10:29,0,No grackles
164,N67,CA,0,38.46881,-121.46851,CLR,01-Feb-2021,2,65,80%,10:42,0,No grackles
165,N46,CA,0,38.47364,-121.50465,CLR,01-Feb-2021,2,59,80%,11:02,0,No grackles
166,122,CA,0,38.45101,-121.50009,CLR,01-Feb-2021,2,62,80%,11:18,0,No grackles
167,N92,CA,0,38.46009,-121.50145,CLR,01-Feb-2021,1,77,80%,11:36,0,No grackles
168,N77,CA,0,38.46448,-121.50096,CLR,01-Feb-2021,2,81,70%,11:49,0,No grackles
169,109,CA,1,38.45537,-121.48854,CLR,02-Feb-2021,2,58,100%,8:28,0,On lamppost - consider re-doing as KM was doing trap habituation near RC Wiley and possibly why birds came in
170,110,CA,1,38.45529,-121.48281,CLR,02-Feb-2021,1,52,100%,8:55,0,Consider re-doing as KM was doing trap habituation and may be why they were coming to this spot
171,96,CA,0,38.45972,-121.47699,CLR,02-Feb-2021,1,55,100%,9:20,0,On lamp post near road and flew down to forage in grass
172,N97,CA,0,38.46006,-121.47121,CLR,02-Feb-2021,2,56,90%,11:16,0,No grackles
173,N98,CA,0,38.46006,-121.46552,CLR,02-Feb-2021,2,72,100%,11:31,0,No grackles
174,N124,CA,0,38.45242,-121.48857,CLR,02-Feb-2021,1,54,90%,12:20,0,On telephone pole in orchard near RC Wiley - likely here as KM was doing trap habituation
175,N125,CA,0,38.45221,-121.48465,CLR,02-Feb-2021,1,67,70%,12:36,0,No grackles
176,N154,CA,0,38.44204,-121.48882,CLR,02-Feb-2021,1,69,80%,13:14,0,No grackles
177,N139,CA,0,38.44695,-121.48873,CLR,02-Feb-2021,2,79,90%,13:30,0,No grackles
178,101,CA,0,38.45935,-121.44834,CLR,03-Feb-2021,1,64,20%,8:20,0,No grackles
179,100,CA,0,38.45942,-121.45407,CLR,03-Feb-2021,1,61,50%,8:48,0,No grackles
180,99,CA,0,38.4595,-121.45978,CLR,03-Feb-2021,2,68,75%,9:03,0,No grackles
181,N115,CA,0,38.45528,-121.45425,CLR,03-Feb-2021,1,67,90%,9:33,0,No grackles
182,114,CA,0,38.45508,-121.45985,CLR,03-Feb-2021,1,62,90%,9:45,0,No grackles
183,116,CA,0,38.45482,-121.44838,CLR,03-Feb-2021,1,61,90%,10:09,0,No grackles
184,131,CA,0,38.45028,-121.44842,CLR,03-Feb-2021,1,58,100%,10:42,0,No grackles
185,130,CA,0,38.45042,-121.45426,CLR,03-Feb-2021,2,63,100%,10:54,0,No grackles
186,N144,CA,0,38.44597,-121.45883,CLR,03-Feb-2021,2,59,90%,11:16,0,No grackles
187,145,CA,0,38.44591,-121.45436,CLR,03-Feb-2021,1,64,75%,11:30,0,No grackles
188,N146,CA,0,38.44589,-121.44807,CLR,03-Feb-2021,2,56,50%,11:51,0,No grackles
189,N127,CA,0,38.45054,-121.47234,CLR,03-Feb-2021,2,71,30%,12:31,1-5,No grackles
190,N159,CA,0,38.44155,-121.45909,CLR,03-Feb-2021,3,85,20%,12:58,0,No grackles
191,N174,CA,0,38.43769,-121.46028,CLR,03-Feb-2021,3,78,15%,13:11,0,No grackles
192,176,CA,0,38.43683,-121.44883,CLR,03-Feb-2021,3,93,20%,13:28,0,No grackles
193,175,CA,0,38.4369,-121.45456,CLR,03-Feb-2021,3,90,20%,13:42,0,No grackles
194,160,CA,0,38.44146,-121.45447,CLR,04-Feb-2021,2,70,0%,8:32,0,No grackles
195,161,CA,0,38.44132,-121.44873,CLR,04-Feb-2021,2,69,0%,8:46,0,No grackles
196,N62,CA,0,38.470252,-121.499666,CLR,04-Feb-2021,2,80,0%,9:21,0,No grackles
197,107,CA,0,38.45552,-121.5,CLR,04-Feb-2021,2,71,0%,9:56,1-5,No grackles
198,137,CA,0,38.44653,-121.50017,CLR,04-Feb-2021,1,63,0%,10:17,0,No grackles
199,152,CA,0,38.442,-121.50017,CLR,04-Feb-2021,3,59,0%,10:37,0,No grackles
200,N153,CA,0,38.44192,-121.4985,CLR,04-Feb-2021,1,60,0%,10:50,0,No grackles
201,N138,CA,0,38.44791,-121.49465,CLR,04-Feb-2021,3,88,0%,11:00,0,No grackles
202,N166,CA,0,38.43691,-121.50645,CLR,04-Feb-2021,2,67,0%,11:18,0,No grackles
203,N76,CA,0,38.46545,-121.50539,CLR,04-Feb-2021,2,76,0%,11:34,0,No grackles
204,N61,CA,0,38.46834,-121.50598,CLR,04-Feb-2021,2,63,0%,11:50,0,No grackles
205,N136,CA,0,38.44627,-121.50282,CLR,04-Feb-2021,1,66,0%,12:04,0,No grackles
206,N106,CA,0,38.45482,-121.5033,CLR,04-Feb-2021,1,81,0%,12:24,0,No grackles
207,91,CA,0,38.46013,-121.50558,CLR,04-Feb-2021,1,67,0%,12:35,1-5,No grackles
208,15,CA,0,38.48613,-121.42484,CLR,05-Feb-2021,2,74,0%,8:24,1-5,"No grackles, re-did point due to wind"
209,N14,CA,0,38.48637,-121.42945,CLR,05-Feb-2021,1,60,0%,8:33,1-5,"No grackles, re-did point due to wind"
210,N30,CA,0,38.48156,-121.42248,CLR,05-Feb-2021,1,84,0%,8:44,0,"No grackles, re-did point due to wind"
211,N45,CA,0,38.47757,-121.42475,CLR,05-Feb-2021,2,73,0%,8:54,0,"No grackles, re-did point due to wind"
212,N44,CA,0,38.47754,-121.43139,CLR,05-Feb-2021,1,56,0%,9:05,1-5,"No grackles, re-did point due to wind"
213,43,CA,0,38.47722,-121.43642,CLR,05-Feb-2021,1,58,0%,9:16,1-5,"No grackles, re-did point due to wind"
214,N28,CA,0,38.48165,-121.43637,CLR,05-Feb-2021,1,60,0%,9:28,1-5,"No grackles, re-did point due to wind"
215,N29,CA,0,38.48149,-121.43104,CLR,05-Feb-2021,1,81,0%,9:39,0,"No grackles, re-did point due to wind"
216,N13,CA,0,38.48631,-121.43616,CLR,05-Feb-2021,1,82,0%,9:50,0,"No grackles, re-did point due to wind"
217,N12,CA,0,38.48653,-121.44236,CLR,05-Feb-2021,1,58,0%,10:03,1-5,"No grackles, re-did point due to wind"
218,N11,CA,0,38.4863,-121.44842,CLR,05-Feb-2021,1,59,0%,10:16,0,"No grackles, re-did point due to wind"
219,27,CA,0,38.48176,-121.44221,CLR,05-Feb-2021,1,64,0%,10:27,1-5,"No grackles, re-did point due to wind"
220,10,CA,0,38.48643,-121.45347,CLR,05-Feb-2021,0,75,0%,10:42,0,"No grackles, re-did point due to wind"
221,N25,CA,0,38.48212,-121.45359,CLR,05-Feb-2021,0,79,0%,10:54,0,"No grackles, re-did point due to wind"
222,N40,CA,0,38.47755,-121.45256,CLR,05-Feb-2021,1,63,0%,11:08,1-5,"No grackles, re-did point due to wind"
223,N8,CA,0,38.48637,-121.46493,CLR,05-Feb-2021,1,66,0%,11:21,1-5,"No grackles, re-did point due to wind"
224,9,CA,0,38.48655,-121.45921,CLR,05-Feb-2021,1,59,0%,11:35,1-5,"No grackles, re-did point due to wind"
225,N37,CA,0,38.47782,-121.46826,CLR,05-Feb-2021,1,53,0%,11:48,1-5,"No grackles, re-did point due to wind"
226,N22,CA,0,38.48226,-121.47065,CLR,05-Feb-2021,1,54,0%,12:03,1-5,"No grackles, re-did point due to wind"
227,N6,CA,0,38.48688,-121.47643,CLR,05-Feb-2021,0,47,0%,12:17,0,"No grackles, re-did point due to wind"
228,7,CA,0,38.48665,-121.47071,CLR,05-Feb-2021,0,51,0%,12:30,1-5,"No grackles, re-did point due to wind"
229,21,CA,0,38.48231,-121.47649,CLR,05-Feb-2021,1,49,0%,12:42,0,"No grackles, re-did point due to wind"
230,108,CA,0,38.45545,-121.49426,CLR,08-Feb-2021,1,82,30%,8:01,1-5,"Male singing in dense conifer on arrival to point, and continued singing throughout"
231,123,CA,0,38.45095,-121.49433,CLR,08-Feb-2021,1,78,40%,8:18,0,"Could hear bird singing on other side of lake but couldn't see it, sang throughout survey"
232,109,CA,0,38.45538,-121.48855,CLR,09-Feb-2021,2,60,90%,8:07,0,Only one singing among the whole group. All sitting on RC Wiley Together
233,110,CA,0,38.4553,-121.48283,CLR,09-Feb-2021,1,69,80%,8:23,0,On RC Wiley
234,214,CA,0,38.42381,-121.48917,CLR,18-Feb-2021,2,69,30%,8:12,1-5,No grackles
235,213,CA,0,38.42381,-121.49486,CLR,18-Feb-2021,1,62,30%,8:29,1-5,In tall tree singing in distance
236,N198,CA,0,38.42659,-121.49602,CLR,18-Feb-2021,1,53,50%,8:50,1-5,No grackles
237,183,CA,0,38.43289,-121.49472,CLR,18-Feb-2021,2,69,80%,9:09,1-5,No grackles
238,184,CA,0,38.43274,-121.48934,CLR,18-Feb-2021,2,76,80%,9:20,1-5,No grackles
239,N168,CA,0,38.43722,-121.49461,CLR,18-Feb-2021,2,78,80%,9:34,1-5,No grackles
240,167,CA,0,38.43751,-121.50044,CLR,18-Feb-2021,1,66,90%,9:53,1-5,No grackles
241,N182,CA,0,38.43317,-121.50117,CLR,18-Feb-2021,2,53,90%,10:09,1-5,No grackles
242,N197,CA,0,38.42859,-121.50114,CLR,18-Feb-2021,1,56,90%,10:25,1-5,No grackles
243,N212,CA,0,38.42404,-121.50115,CLR,18-Feb-2021,1,55,100%,10:39,1-5,No grackles
244,N199,CA,0,38.42782,-121.48965,CLR,18-Feb-2021,1,60,60%,11:37,1-5,No grackles
245,N211,CA,0,38.4191,-121.48891,CLR,18-Feb-2021,2,72,60%,11:57,1-5,No grackles
246,N196,CA,0,38.41599,-121.49398,CLR,18-Feb-2021,1,72,50%,12:10,1-5,No grackles
247,N181,CA,0,38.41606,-121.49993,CLR,18-Feb-2021,1,48,50%,12:22,1-5,No grackles
248,N151,CA,0,38.44088,-121.50672,CLR,26-Feb-2021,1,52,10%,13:58,0,No grackles
249,N121,CA,0,38.48682,-121.5108,CLR,26-Feb-2021,1,59,25%,14:29,1-5,No grackles
17,1,AZ,0,33.4482,-111.9539,MAF,12-Feb-2020,2,45.5,0%,10:06,11-20,
10,4,AZ,0,33.44817,-111.93737,MAF,6-Feb-2020,2,43.7,0%,12:53,1-5,"first heard aurally, then detected visually"
11,5,AZ,0,33.4484,-111.93223,MAF,6-Feb-2020,3,48.5,5%,13:18,1-5,no grackles
100,10,AZ,0,33.44856,-111.90547,KMD,5-Feb-2020,2,51.2,50%,8:46,1-5,no grackles
