"","BirdID","Sex","Microhabitat","ProportionFollows","Phi","Lambda","MABavgLatencySwitch","NumFollows","FollowsPerHabitat"
"91","Pizza","M","HumanSurface",0,0.04656,3.30433,1482,3,0
"92","Pizza","M","Building",0,0.04656,3.30433,1482,3,0
"93","Pizza","M","Dumpster",0,0.04656,3.30433,1482,3,0
"94","Pizza","M","MiscHuman",0.33,0.04656,3.30433,1482,3,1
"95","Pizza","M","NaturalGround",0,0.04656,3.30433,1482,3,0
"96","Pizza","M","Rock",0,0.04656,3.30433,1482,3,0
"97","Pizza","M","Shrub",0,0.04656,3.30433,1482,3,0
"98","Pizza","M","Grass",0,0.04656,3.30433,1482,3,0
"99","Pizza","M","Tree",0.67,0.04656,3.30433,1482,3,2
"100","Pollito","M","HumanSurface",0,0.06904,3.31221,668,1,0
"101","Pollito","M","Building",0,0.06904,3.31221,668,1,0
"102","Pollito","M","Dumpster",1,0.06904,3.31221,668,1,1
"103","Pollito","M","MiscHuman",0,0.06904,3.31221,668,1,0
"104","Pollito","M","NaturalGround",0,0.06904,3.31221,668,1,0
"105","Pollito","M","Rock",0,0.06904,3.31221,668,1,0
"106","Pollito","M","Shrub",0,0.06904,3.31221,668,1,0
"107","Pollito","M","Grass",0,0.06904,3.31221,668,1,0
"108","Pollito","M","Tree",0,0.06904,3.31221,668,1,0
"109","Queso","M","HumanSurface",0.4,0.02706,3.50568,NA,5,2
"110","Queso","M","Building",0,0.02706,3.50568,NA,5,0
"111","Queso","M","Dumpster",0,0.02706,3.50568,NA,5,0
"112","Queso","M","MiscHuman",0,0.02706,3.50568,NA,5,0
"113","Queso","M","NaturalGround",0,0.02706,3.50568,NA,5,0
"114","Queso","M","Rock",0,0.02706,3.50568,NA,5,0
"115","Queso","M","Shrub",0,0.02706,3.50568,NA,5,0
"116","Queso","M","Grass",0,0.02706,3.50568,NA,5,0
"117","Queso","M","Tree",0.6,0.02706,3.50568,NA,5,3
"118","Taco","M","HumanSurface",0,0.02416,4.29806,117,8,0
"119","Taco","M","Building",0,0.02416,4.29806,117,8,0
"120","Taco","M","Dumpster",0,0.02416,4.29806,117,8,0
"121","Taco","M","MiscHuman",0.13,0.02416,4.29806,117,8,1
"122","Taco","M","NaturalGround",0,0.02416,4.29806,117,8,0
"123","Taco","M","Rock",0,0.02416,4.29806,117,8,0
"124","Taco","M","Shrub",0,0.02416,4.29806,117,8,0
"125","Taco","M","Grass",0.13,0.02416,4.29806,117,8,1
"126","Taco","M","Tree",0.75,0.02416,4.29806,117,8,6
"127","Tapa","F","HumanSurface",0,0.01717,4.45838,NA,4,0
"128","Tapa","F","Building",0,0.01717,4.45838,NA,4,0
"129","Tapa","F","Dumpster",0,0.01717,4.45838,NA,4,0
"130","Tapa","F","MiscHuman",0,0.01717,4.45838,NA,4,0
"131","Tapa","F","NaturalGround",0,0.01717,4.45838,NA,4,0
"132","Tapa","F","Rock",0.25,0.01717,4.45838,NA,4,1
"133","Tapa","F","Shrub",0,0.01717,4.45838,NA,4,0
"134","Tapa","F","Grass",0.25,0.01717,4.45838,NA,4,1
"135","Tapa","F","Tree",0.5,0.01717,4.45838,NA,4,2
"136","Taquito","M","HumanSurface",0.14,0.0103,4.38858,100,8,1
"137","Taquito","M","Building",0.14,0.0103,4.38858,100,8,1
"138","Taquito","M","Dumpster",0,0.0103,4.38858,100,8,0
"139","Taquito","M","MiscHuman",0.29,0.0103,4.38858,100,8,2
"140","Taquito","M","NaturalGround",0,0.0103,4.38858,100,8,0
"141","Taquito","M","Rock",0,0.0103,4.38858,100,8,0
"142","Taquito","M","Shrub",0,0.0103,4.38858,100,8,0
"143","Taquito","M","Grass",0.14,0.0103,4.38858,100,8,1
"144","Taquito","M","Tree",0.29,0.0103,4.38858,100,8,2
"145","Tomatillo","M","HumanSurface",0.25,0.04516,4.30384,NA,4,1
"146","Tomatillo","M","Building",0.5,0.04516,4.30384,NA,4,2
"147","Tomatillo","M","Dumpster",0,0.04516,4.30384,NA,4,0
"148","Tomatillo","M","MiscHuman",0,0.04516,4.30384,NA,4,0
"149","Tomatillo","M","NaturalGround",0,0.04516,4.30384,NA,4,0
"150","Tomatillo","M","Rock",0,0.04516,4.30384,NA,4,0
"151","Tomatillo","M","Shrub",0,0.04516,4.30384,NA,4,0
"152","Tomatillo","M","Grass",0.25,0.04516,4.30384,NA,4,1
"153","Tomatillo","M","Tree",0,0.04516,4.30384,NA,4,0
"154","Yuca","F","HumanSurface",0,0.02609,4.75673,77,4,0
"155","Yuca","F","Building",0,0.02609,4.75673,77,4,0
"156","Yuca","F","Dumpster",0,0.02609,4.75673,77,4,0
"157","Yuca","F","MiscHuman",0,0.02609,4.75673,77,4,0
"158","Yuca","F","NaturalGround",0,0.02609,4.75673,77,4,0
"159","Yuca","F","Rock",0,0.02609,4.75673,77,4,0
"160","Yuca","F","Shrub",0,0.02609,4.75673,77,4,0
"161","Yuca","F","Grass",0,0.02609,4.75673,77,4,0
"162","Yuca","F","Tree",1,0.02609,4.75673,77,4,4
"163","Flan","F","HumanSurface",0,0.02757,7.89477,94,1,0
"164","Flan","F","Building",0,0.02757,7.89477,94,1,0
"165","Flan","F","Dumpster",0,0.02757,7.89477,94,1,0
"166","Flan","F","MiscHuman",1,0.02757,7.89477,94,1,1
"167","Flan","F","NaturalGround",0,0.02757,7.89477,94,1,0
"168","Flan","F","Rock",0,0.02757,7.89477,94,1,0
"169","Flan","F","Shrub",0,0.02757,7.89477,94,1,0
"170","Flan","F","Grass",0,0.02757,7.89477,94,1,0
"171","Flan","F","Tree",0,0.02757,7.89477,94,1,0
"172","Tembleque","M","HumanSurface",0.2,0.08183,4.64603,469,5,1
"173","Tembleque","M","Building",0.4,0.08183,4.64603,469,5,2
"174","Tembleque","M","Dumpster",0,0.08183,4.64603,469,5,0
"175","Tembleque","M","MiscHuman",0.2,0.08183,4.64603,469,5,1
"176","Tembleque","M","NaturalGround",0,0.08183,4.64603,469,5,0
"177","Tembleque","M","Rock",0.2,0.08183,4.64603,469,5,1
"178","Tembleque","M","Shrub",0,0.08183,4.64603,469,5,0
"179","Tembleque","M","Grass",0,0.08183,4.64603,469,5,0
"180","Tembleque","M","Tree",0,0.08183,4.64603,469,5,0
"181","Polvorones","M","HumanSurface",0,0.04787,7.21281,384,6,0
"182","Polvorones","M","Building",0,0.04787,7.21281,384,6,0
"183","Polvorones","M","Dumpster",0,0.04787,7.21281,384,6,0
"184","Polvorones","M","MiscHuman",0.17,0.04787,7.21281,384,6,1
"185","Polvorones","M","NaturalGround",0.33,0.04787,7.21281,384,6,2
"186","Polvorones","M","Rock",0,0.04787,7.21281,384,6,0
"187","Polvorones","M","Shrub",0,0.04787,7.21281,384,6,0
"188","Polvorones","M","Grass",0.17,0.04787,7.21281,384,6,1
"189","Polvorones","M","Tree",0.33,0.04787,7.21281,384,6,2
"190","Camote","M","HumanSurface",0.25,0.02693,7.57132,488,4,1
"191","Camote","M","Building",0,0.02693,7.57132,488,4,0
"192","Camote","M","Dumpster",0,0.02693,7.57132,488,4,0
"193","Camote","M","MiscHuman",0.25,0.02693,7.57132,488,4,1
"194","Camote","M","NaturalGround",0,0.02693,7.57132,488,4,0
"195","Camote","M","Rock",0,0.02693,7.57132,488,4,0
"196","Camote","M","Shrub",0,0.02693,7.57132,488,4,0
"197","Camote","M","Grass",0.25,0.02693,7.57132,488,4,1
"198","Camote","M","Tree",0.25,0.02693,7.57132,488,4,1
"199","Piña","F","HumanSurface",0,0.02105,7.11452,312,NA,NA
"200","Piña","F","Building",0.33,0.02105,7.11452,312,NA,NA
"201","Piña","F","Dumpster",0,0.02105,7.11452,312,NA,NA
"202","Piña","F","MiscHuman",0,0.02105,7.11452,312,NA,NA
"203","Piña","F","NaturalGround",0.33,0.02105,7.11452,312,NA,NA
"204","Piña","F","Rock",0,0.02105,7.11452,312,NA,NA
"205","Piña","F","Shrub",0,0.02105,7.11452,312,NA,NA
"206","Piña","F","Grass",0,0.02105,7.11452,312,NA,NA
"207","Piña","F","Tree",0.33,0.02105,7.11452,312,NA,NA
"208","Helado","M","HumanSurface",0,0.03503,2.59728,1227,4,0
"209","Helado","M","Building",0,0.03503,2.59728,1227,4,0
"210","Helado","M","Dumpster",0,0.03503,2.59728,1227,4,0
"211","Helado","M","MiscHuman",0,0.03503,2.59728,1227,4,0
"212","Helado","M","NaturalGround",0,0.03503,2.59728,1227,4,0
"213","Helado","M","Rock",0,0.03503,2.59728,1227,4,0
"214","Helado","M","Shrub",0.5,0.03503,2.59728,1227,4,2
"215","Helado","M","Grass",0,0.03503,2.59728,1227,4,0
"216","Helado","M","Tree",0.5,0.03503,2.59728,1227,4,2
"217","Buñuelo","M","HumanSurface",0,0.01559,8.50074,46,1,0
"218","Buñuelo","M","Building",0,0.01559,8.50074,46,1,0
"219","Buñuelo","M","Dumpster",0,0.01559,8.50074,46,1,0
"220","Buñuelo","M","MiscHuman",0,0.01559,8.50074,46,1,0
"221","Buñuelo","M","NaturalGround",0,0.01559,8.50074,46,1,0
"222","Buñuelo","M","Rock",0,0.01559,8.50074,46,1,0
"223","Buñuelo","M","Shrub",0,0.01559,8.50074,46,1,0
"224","Buñuelo","M","Grass",0,0.01559,8.50074,46,1,0
"225","Buñuelo","M","Tree",1,0.01559,8.50074,46,1,1
"226","Dulce de Leche","M","HumanSurface",0.13,0.04176,2.4889,425,8,1
"227","Dulce de Leche","M","Building",0,0.04176,2.4889,425,8,0
"228","Dulce de Leche","M","Dumpster",0,0.04176,2.4889,425,8,0
"229","Dulce de Leche","M","MiscHuman",0,0.04176,2.4889,425,8,0
"230","Dulce de Leche","M","NaturalGround",0.13,0.04176,2.4889,425,8,1
"231","Dulce de Leche","M","Rock",0,0.04176,2.4889,425,8,0
"232","Dulce de Leche","M","Shrub",0.13,0.04176,2.4889,425,8,1
"233","Dulce de Leche","M","Grass",0,0.04176,2.4889,425,8,0
"234","Dulce de Leche","M","Tree",0.63,0.04176,2.4889,425,8,5
"235","Zapote Negro","M","HumanSurface",0.25,0.03388,4.70587,1599,8,2
"236","Zapote Negro","M","Building",0.38,0.03388,4.70587,1599,8,3
"237","Zapote Negro","M","Dumpster",0,0.03388,4.70587,1599,8,0
"238","Zapote Negro","M","MiscHuman",0,0.03388,4.70587,1599,8,0
"239","Zapote Negro","M","NaturalGround",0.13,0.03388,4.70587,1599,8,1
"240","Zapote Negro","M","Rock",0,0.03388,4.70587,1599,8,0
"241","Zapote Negro","M","Shrub",0,0.03388,4.70587,1599,8,0
"242","Zapote Negro","M","Grass",0,0.03388,4.70587,1599,8,0
"243","Zapote Negro","M","Tree",0.25,0.03388,4.70587,1599,8,2
"244","Ak'xi","M","HumanSurface",1,0.02516,4.01025,34,1,1
"245","Ak'xi","M","Building",0,0.02516,4.01025,34,1,0
"246","Ak'xi","M","Dumpster",0,0.02516,4.01025,34,1,0
"247","Ak'xi","M","MiscHuman",0,0.02516,4.01025,34,1,0
"248","Ak'xi","M","NaturalGround",0,0.02516,4.01025,34,1,0
"249","Ak'xi","M","Rock",0,0.02516,4.01025,34,1,0
"250","Ak'xi","M","Shrub",0,0.02516,4.01025,34,1,0
"251","Ak'xi","M","Grass",0,0.02516,4.01025,34,1,0
"252","Ak'xi","M","Tree",0,0.02516,4.01025,34,1,0
"253","Kau","M","HumanSurface",0,0.01691,4.5713,178,3,0
"254","Kau","M","Building",0,0.01691,4.5713,178,3,0
"255","Kau","M","Dumpster",0,0.01691,4.5713,178,3,0
"256","Kau","M","MiscHuman",0,0.01691,4.5713,178,3,0
"257","Kau","M","NaturalGround",0,0.01691,4.5713,178,3,0
"258","Kau","M","Rock",0,0.01691,4.5713,178,3,0
"259","Kau","M","Shrub",0,0.01691,4.5713,178,3,0
"260","Kau","M","Grass",0,0.01691,4.5713,178,3,0
"261","Kau","M","Tree",1,0.01691,4.5713,178,3,3
"262","Galandra","F","HumanSurface",0.17,0.01458,4.28544,440,6,1
"263","Galandra","F","Building",0,0.01458,4.28544,440,6,0
"264","Galandra","F","Dumpster",0,0.01458,4.28544,440,6,0
"265","Galandra","F","MiscHuman",0,0.01458,4.28544,440,6,0
"266","Galandra","F","NaturalGround",0.17,0.01458,4.28544,440,6,1
"267","Galandra","F","Rock",0,0.01458,4.28544,440,6,0
"268","Galandra","F","Shrub",0,0.01458,4.28544,440,6,0
"269","Galandra","F","Grass",0,0.01458,4.28544,440,6,0
"270","Galandra","F","Tree",0.67,0.01458,4.28544,440,6,4
"271","Cuervo","M","HumanSurface",0,0.05899,3.98594,341,6,0
"272","Cuervo","M","Building",0,0.05899,3.98594,341,6,0
"273","Cuervo","M","Dumpster",0,0.05899,3.98594,341,6,0
"274","Cuervo","M","MiscHuman",0,0.05899,3.98594,341,6,0
"275","Cuervo","M","NaturalGround",0.33,0.05899,3.98594,341,6,2
"276","Cuervo","M","Rock",0,0.05899,3.98594,341,6,0
"277","Cuervo","M","Shrub",0,0.05899,3.98594,341,6,0
"278","Cuervo","M","Grass",0.17,0.05899,3.98594,341,6,1
"279","Cuervo","M","Tree",0.5,0.05899,3.98594,341,6,3
"280","Kel","F","HumanSurface",0,0.05182,2.46271,432,6,0
"281","Kel","F","Building",0,0.05182,2.46271,432,6,0
"282","Kel","F","Dumpster",0,0.05182,2.46271,432,6,0
"283","Kel","F","MiscHuman",0.17,0.05182,2.46271,432,6,1
"284","Kel","F","NaturalGround",0,0.05182,2.46271,432,6,0
"285","Kel","F","Rock",0.17,0.05182,2.46271,432,6,1
"286","Kel","F","Shrub",0.33,0.05182,2.46271,432,6,2
"287","Kel","F","Grass",0,0.05182,2.46271,432,6,0
"288","Kel","F","Tree",0.33,0.05182,2.46271,432,6,2
"289","Xunub","M","HumanSurface",0,0.01172,7.65057,712,4,0
"290","Xunub","M","Building",0.25,0.01172,7.65057,712,4,1
"291","Xunub","M","Dumpster",0,0.01172,7.65057,712,4,0
"292","Xunub","M","MiscHuman",0,0.01172,7.65057,712,4,0
"293","Xunub","M","NaturalGround",0,0.01172,7.65057,712,4,0
"294","Xunub","M","Rock",0,0.01172,7.65057,712,4,0
"295","Xunub","M","Shrub",0,0.01172,7.65057,712,4,0
"296","Xunub","M","Grass",0,0.01172,7.65057,712,4,0
"297","Xunub","M","Tree",0.75,0.01172,7.65057,712,4,3
"298","Tzanatl preciosa","F","HumanSurface",0,0.20028,2.90399,51,NA,NA
"299","Tzanatl preciosa","F","Building",0.5,0.20028,2.90399,51,NA,NA
"300","Tzanatl preciosa","F","Dumpster",0,0.20028,2.90399,51,NA,NA
"301","Tzanatl preciosa","F","MiscHuman",0,0.20028,2.90399,51,NA,NA
"302","Tzanatl preciosa","F","NaturalGround",0,0.20028,2.90399,51,NA,NA
"303","Tzanatl preciosa","F","Rock",0,0.20028,2.90399,51,NA,NA
"304","Tzanatl preciosa","F","Shrub",0,0.20028,2.90399,51,NA,NA
"305","Tzanatl preciosa","F","Grass",0,0.20028,2.90399,51,NA,NA
"306","Tzanatl preciosa","F","Tree",0.5,0.20028,2.90399,51,NA,NA
"307","Cutuy","F","HumanSurface",0,0.0046,8.43886,125,6,0
"308","Cutuy","F","Building",0,0.0046,8.43886,125,6,0
"309","Cutuy","F","Dumpster",0.17,0.0046,8.43886,125,6,1
"310","Cutuy","F","MiscHuman",0,0.0046,8.43886,125,6,0
"311","Cutuy","F","NaturalGround",0,0.0046,8.43886,125,6,0
"312","Cutuy","F","Rock",0,0.0046,8.43886,125,6,0
"313","Cutuy","F","Shrub",0,0.0046,8.43886,125,6,0
"314","Cutuy","F","Grass",0,0.0046,8.43886,125,6,0
"315","Cutuy","F","Tree",0.83,0.0046,8.43886,125,6,5
