Date,Experimenter,Batch,ID,Condition,Session,Trial,Trial start time,FirstTouch,SideRewardTakenFrom,AdaptedFirstTouch,SideOfFirstTouch,SideDemonstrated,NumberOfRebaits,Maintenance diet,Notes,TrialsToReverseLast,FlexRatio,AvgLatencyToSwitch
14-Nov-18,KM,1,Tapa,Pre-reversal,4,9,11:59,1,Right,1,Right,Right,0,,,,,
14-Nov-18,KM,1,Tapa,Pre-reversal,4,10,,1,Left,1,Left,Right,0,,10/10 correct responses (both measures),,,
20-Dec-18,KM,1,Mole,Post-reversal,1,1,11:18,0,Left,0,,Left,0,,,,,
20-Dec-18,KM,1,Mole,Post-reversal,1,2,11:19,1,Left,1,,Left,0,,,,,
20-Dec-18,KM,1,Mole,Post-reversal,1,3,,1,Left,1,,Left,0,,,,,
20-Dec-18,KM,1,Mole,Post-reversal,1,4,11:21,1,Left,1,,Left,0,,,,,
20-Dec-18,KM,1,Mole,Post-reversal,1,5,,0,Right,2,,Left,0,,,,,
20-Dec-18,KM,1,Mole,Post-reversal,1,6,,1,Left,1,,Left,0,,,,,
20-Dec-18,KM,1,Mole,Post-reversal,1,7,11:24,1,Right,1,,Left,0,,,,,
20-Dec-18,KM,1,Mole,Post-reversal,1,8,,1,Left,1,,Left,0,,Check cam for First approach - may have touched top edge first,,,
20-Dec-18,KM,1,Mole,Post-reversal,1,9,,1,Left,1,,Left,0,,,,,
20-Dec-18,KM,1,Mole,Post-reversal,1,10,,1,Left,1,,Left,0,,8/10 correct,,,
30-Dec-18,CL,1,Chalupa,Post-reversal,1,1,11:24,1,Left (but she accidentally pushed it out of reach and didn't go to the other side so she didn't get the food even after I waited for a few minutes for her to come back),1,Left,Right,1,Removed 0900,On ground within 30 s and stayed on the ground inspecting the apparatus but seems to be hesitant about the new apparatus so she didn't take the food. Rebaited after 2.5 min (even though she was still on the ground and used a whole goldfish,,,
30-Dec-18,CL,1,Chalupa,Post-reversal,1,2,,1,Left,1,Left,Right,0,,,,,
30-Dec-18,CL,1,Chalupa,Post-reversal,1,3,,1,Right,1,Left,Right,3,,"Stayed on the ground for a long time inspecting the apparatus but wouldn't take the food. Rebait 2 = whole goldfish, still didn't take the food even though she was inspecting the apparatus",,,
30-Dec-18,CL,1,Chalupa,Post-reversal,1,4,,-1,,-1,,Right,2,,"On the ground in 30 s both times, didn't take food, and stayed on ground inspecting for a long time. Maybe she is getting full?",,,
31-Dec-18,CL,1,Chalupa,Post-reversal,2,4,10:32,1,Left,1,Left,Right,1,Removed 0855,She came down and wanted the food but wouldn't reach her head in. Rebaited w whole goldfish,,,
31-Dec-18,CL,1,Chalupa,Post-reversal,2,5,,0,Left,2,Left,Right,1,,,,,
31-Dec-18,CL,1,Chalupa,Post-reversal,2,6,,-1,,-1,,Right,3,,"She came down in 30s, rebaited with whole goldfish, she stays on ground. She may be getting full",,,
31-Dec-18,CL,1,Chalupa,Post-reversal,3,6,11:50,1,Left,1,Left,Right,0,,,,,
31-Dec-18,CL,1,Chalupa,Post-reversal,3,7,,1,Left,1,Left,Right,0,,"On the ground immediately, construction workers went behind aviary then she came down immediately again and looked at food then walked around on the ground, construction works went behind the aviaries again yelling and she flew up to her perch then came down again within 30s and got the food",,,
31-Dec-18,CL,1,Chalupa,Post-reversal,3,8,11:59,1,Left,1,Left,Right,3,,"On the ground immediately, stuck head in tube but didn't reach far enough to get food, then walking around on the ground. Rebaited to draw her attention to the food and it worked but then construction workers walked behind the aviaries again and she moved to her water dish. Rebaited to draw her attention to the food, came to ground immediately, walking around tube",,,
31-Dec-18,CL,1,Chalupa,Post-reversal,4,9,12:37,1,Left,1,Left,Right,1,,,,,
31-Dec-18,CL,1,Chalupa,Post-reversal,4,10,12:43,-1,,-1,,Right,3,,Construction worker walked behind aviary just after I rebaited so I gave her more than 30s to come to the ground (but she came down in 23 anyway),,,
1-Jan-19,CL,1,Chalupa,Post-reversal,5,10,11:12,0,Left,2,Left,Right,0,Removed 0900,9/10 correct,,,
1-Jan-19,CL,1,Tomatillo,Post-reversal,1,1,11:31,1,Left,1,Right,Left,0,,2020-03-24: Corina coded adaptedfirsttouch. First right but he pushed it out of the way then got it from left,,,
1-Jan-19,CL,1,Tomatillo,Post-reversal,1,2,11:33,0,Left,0,Left,Left,0,,Not sure if a 1,,,
1-Jan-19,CL,1,Tomatillo,Post-reversal,1,3,,1,Right,1,Right,Left,0,,,,,
1-Jan-19,CL,1,Tomatillo,Post-reversal,1,4,,1,Left,1,Left,Left,0,,,,,
1-Jan-19,CL,1,Tomatillo,Post-reversal,1,5,,0,Right,0,Right,Left,0,,Looked like he was exploring the material before he ate,,,
1-Jan-19,CL,1,Tomatillo,Post-reversal,1,6,11:37,1,Right,1,Right,Left,0,,,,,
1-Jan-19,CL,1,Tomatillo,Post-reversal,1,7,11:38,1,Left,1,Left,Left,0,,,,,
1-Jan-19,CL,1,Tomatillo,Post-reversal,1,8,,1,Right,1,Right,Left,0,,,,,
1-Jan-19,CL,1,Tomatillo,Post-reversal,1,9,11:40,1,Left,1,Left,Left,0,,,,,
1-Jan-19,CL,1,Tomatillo,Post-reversal,1,10,11:41,1,Left,1,Left,Left,0,,8/10 correct (both measures),,,
7-Jan-19,LB,1,Habanero,Post-reversal,1,1,15:23,1,Right,1,Right,Right,4,Removed 1145,Walked around apparatus a few times and got distracted by water and leaves before making a choice. ,,,
7-Jan-19,LB,1,Habanero,Post-reversal,1,2,15:38,1,Right,1,Right,Right,0,,Went to R side on first approach but got food on second approach.,,,
7-Jan-19,LB,1,Habanero,Post-reversal,1,3,15:39,-1,,-1,,Right,1,Returned 1545,Ended trial to give back food. Was also getting very distracted and maybe full.,,,
8-Jan-19,CL,1,Habanero,Post-reversal,2,3,13:45,1,Left,1,Left,Right,0,Removed 1140,,,,
8-Jan-19,CL,1,Habanero,Post-reversal,2,4,13:46,1,Left,1,Left,Right,0,,,,,
8-Jan-19,CL,1,Habanero,Post-reversal,2,5,13:46,1,Left,1,Left,Right,0,,,,,
8-Jan-19,CL,1,Habanero,Post-reversal,2,6,13:47,1,Left,1,Left,Right,0,,,,,
8-Jan-19,CL,1,Habanero,Post-reversal,2,7,13:48,1,Left,1,Left,Right,0,,,,,
8-Jan-19,CL,1,Habanero,Post-reversal,2,8,13:49,1,Left,1,Left,Right,0,,,,,
8-Jan-19,CL,1,Habanero,Post-reversal,2,9,13:49,1,Left,1,Left,Right,0,,,,,
8-Jan-19,CL,1,Habanero,Post-reversal,2,10,13:50,1,Left,1,Left,Right,0,,10/10 correct,,,
10-Oct-19,MM,3,Adobo,Pre-reversal,1,1,11:39,0,Left,0,Left,Right,0,Removed 09:03,2020-03-24: Corina coded adaptedfirsttouch,,,
10-Oct-19,MM,3,Adobo,Pre-reversal,1,2,11:40,0,Right,0,Middle,Right,0,,,,,
10-Oct-19,MM,3,Adobo,Pre-reversal,1,3,11:41,0,Left,2,Left,Right,0,,,,,
10-Oct-19,MM,3,Adobo,Pre-reversal,1,4,11:42,0,Right,0,Middle,Right,0,,,,,
10-Oct-19,MM,3,Adobo,Pre-reversal,1,5,11:43,1,Right,1,Right,Right,0,,,,,
10-Oct-19,MM,3,Adobo,Pre-reversal,1,6,11:44,1,Right,1,Right,Right,0,,,,,
10-Oct-19,MM,3,Adobo,Pre-reversal,1,7,11:45,0,Right,0,Middle,Right,0,,,,,
10-Oct-19,MM,3,Adobo,Pre-reversal,1,8,11:46,0,Right,0,Right,Right,0,,,,,
10-Oct-19,MM,3,Adobo,Pre-reversal,1,9,11:47,1,Right,1,Right,Right,0,,,,,
10-Oct-19,MM,3,Adobo,Pre-reversal,1,10,11:48,1,Left,1,Left,Right,0,,"4/10 correct first touch, 6/10 adapted",,,
21-Oct-19,KM,3,Taco,Post-reversal,1,1,10:05,1,Right,1,Right,Right,0,Removed 0930,2020-03-24: Corina coded adaptedfirsttouch and corrected FirstTouch,,,
21-Oct-19,KM,3,Taco,Post-reversal,1,2,10:06,0,Right,2,Right,Right,0,,,,,
21-Oct-19,KM,3,Taco,Post-reversal,1,3,10:07,-1,,-1,,Right,2,,Playing with camera and sitting on perch,,,
21-Oct-19,KM,3,Taco,Post-reversal,2,3,11:35,0,Right,2,Right,Right,0,,,,,
21-Oct-19,KM,3,Taco,Post-reversal,2,4,11:36:40,0,Right,2,Right,Right,0,,,,,
21-Oct-19,KM,3,Taco,Post-reversal,2,5,11:38,0,Left,2,Left,Right,0,,,,,
21-Oct-19,KM,3,Taco,Post-reversal,2,6,11:39,0,Right,2,Right,Right,2,Returned 1330,,,,
22-Oct-19,MM,3,Taco,Post-reversal,3,7,13:38,0,Right,2,Right,Right,1,Removed 12:00,Playing with camera ,,,
22-Oct-19,MM,3,Taco,Post-reversal,3,8,13:42,0,Left,2,Right,Right,0,,"Initially tried to take from right but pushed the food further into the cylinder instead of getting it, and ended up retrieving from the left side to get the reward",,,
22-Oct-19,MM,3,Taco,Post-reversal,3,9,13:43,-1,,-1,,Right,3,,Left the cylinder in the aviary and gave a new food reward,,,
22-Oct-19,MM,3,Taco,Post-reversal,4,9,14:11,1,Right,1,Right,Right,0,,"Note from Corina on 24 Mar 2020: FirstTouch was originally coded as 0, but he just touched the blue plastic base before getting the food - he didn't touch the clear plastic tube which is the part that the test is about. So his response was correct",,,
22-Oct-19,MM,3,Taco,Post-reversal,4,10,14:11,0,Right,2,Right,Right,0,,"2/10 correct, adaptedfirsttouch=10/10 correct",,,
07-Nov-19,MM,3,Diablo,Post-reversal,1,1,11:13,0,Left,0,Front,Right,0,Removed 09:10,,,,
07-Nov-19,MM,3,Diablo,Post-reversal,1,2,11:14,1,Right,1,Right,Right,0,,,,,
07-Nov-19,MM,3,Diablo,Post-reversal,1,3,11:14,1,Right,1,Right,Right,0,,,,,
07-Nov-19,MM,3,Diablo,Post-reversal,1,4,11:15,1,Right,1,Right,Right,0,,,,,
07-Nov-19,MM,3,Diablo,Post-reversal,1,5,11:16,1,Right,1,Right,Right,0,,,,,
07-Nov-19,MM,3,Diablo,Post-reversal,1,6,11:17,0,Right,0,Front,Right,0,,,,,
07-Nov-19,MM,3,Diablo,Post-reversal,1,7,11:18,0,Right,0,Front,Right,0,,,,,
07-Nov-19,MM,3,Diablo,Post-reversal,1,8,11:18,1,Right,1,Right,Right,0,,,,,
07-Nov-19,MM,3,Diablo,Post-reversal,1,9,11:19,1,Right,1,Right,Right,0,,,,,
07-Nov-19,MM,3,Diablo,Post-reversal,1,10,11:20,1,Right,1,Right,Right,0,Returned 11:22,7/10 correct,,,
07-Nov-19,MM,3,Pavo,Pre-reversal,1,1,11:25,1,Left,1,Left,Left,0,Removed 09:15,2020-03-24: Corina coded adaptedfirsttouch,,,
07-Nov-19,MM,3,Pavo,Pre-reversal,1,2,11:26,0,Left,0,Middle,Left,3,,He ran into it with his body and then ran away to his water tub without taking the cracker; flew up to a perch then back down and pecked at the side of the tube; then flew back up to a perch (has been 4 mins since 1st rebait); flew back down at 4:28; then back up at 5:15; Rebaited for 2nd time 30s after he flew up; 3rd rebait after 30s;,,,
07-Nov-19,MM,3,Pavo,Pre-reversal,1,3,11:35,1,Left,1,Left,Left,0,,,,,
07-Nov-19,MM,3,Pavo,Pre-reversal,1,4,11:36,1,Left,1,Left,Left,0,,2020-03-24: Corina corrected FirstTouch from 0 to 1,,,
07-Nov-19,MM,3,Pavo,Pre-reversal,1,5,11:38,0,Left,0,Left,Left,0,,2020-03-24: Corina corrected FirstTouch from 1 to 0,,,
07-Nov-19,MM,3,Pavo,Pre-reversal,1,6,11:39,1,Left,1,Left,Left,0,,,,,
07-Nov-19,MM,3,Pavo,Pre-reversal,1,7,11:40,1,Left,1,Left,Left,0,,2020-03-24: Corina corrected FirstTouch from 0 to 1 bc he walked on the edge of the tube while going toward the food.,,,
07-Nov-19,MM,3,Pavo,Pre-reversal,1,8,11:42,0,Right,0,Right,Left,1,,"He clawed at the tube first then ran away and flew up to his tree, then up to a perch at 50s",,,
07-Nov-19,MM,3,Pavo,Pre-reversal,1,9,11:45,1,Left,1,Left,Left,1,,In video at 21:58,,,
07-Nov-19,MM,3,Pavo,Pre-reversal,1,10,11:47,1,Left,1,Left,Left,1,Returned 11:49,7/10 correct (both measures). Flew to tree first around 30s and then hopped down. 2020-03-24: Corina corrected number of rebaits from 0 to 1,,,
13-Dec-19,KM,3,Burrito,Post-reversal,1,1,11:49,0,Left,0,Middle,Left,2,Removed 0914,2020-03-24: Corina coded adaptedfirsttouch. used whole goldfish on 2nd rebait; dragged at the tube until food came closer to left opening,,,
13-Dec-19,KM,3,Burrito,Post-reversal,1,2,11:56,0,Left,2,Left,Left,0,,,,,
13-Dec-19,KM,3,Burrito,Post-reversal,1,3,11:56,0,Right,2,Right,Left,0,,,,,
13-Dec-19,KM,3,Burrito,Post-reversal,1,4,11:57,0,Right,2,Right,Left,0,,,,,
13-Dec-19,KM,3,Burrito,Post-reversal,1,5,11:58,1,Right,1,Right,Left,0,,,,,
13-Dec-19,KM,3,Burrito,Post-reversal,1,6,11:59,1,Right,1,Right,Left,0,,,,,
13-Dec-19,KM,3,Burrito,Post-reversal,1,7,11:59,1,Right,1,Right,Left,0,,,,,
13-Dec-19,KM,3,Burrito,Post-reversal,1,8,12:00,1,Right,1,Right,Left,0,,,,,
13-Dec-19,KM,3,Burrito,Post-reversal,1,9,12:01,0,Right,2,Right,Left,0,,,,,
13-Dec-19,KM,3,Burrito,Post-reversal,1,10,12:01,1,Right,1,Right,Left,0,Returned 1314,"5/10 first touch, 9/10 correct adapted",,,
20-Dec-19,MM,3,Huachinango,Pre-reversal,1,1,14:51,1,Left,1,Left,Left,0,Removed 11:10,,,,
20-Dec-19,MM,3,Huachinango,Pre-reversal,1,2,14:51,1,Left,1,Left,Left,0,,,,,
20-Dec-19,MM,3,Huachinango,Pre-reversal,1,3,14:52,0,Right,0,Right,Left,0,,,,,
20-Dec-19,MM,3,Huachinango,Pre-reversal,1,4,14:53,1,Right,1,Right,Left,0,,,,,
20-Dec-19,MM,3,Huachinango,Pre-reversal,1,5,14:53,0,Left,0,Left,Left,0,,,,,
20-Dec-19,MM,3,Huachinango,Pre-reversal,1,6,14:54,1,Left,1,Left,Left,0,,,,,
20-Dec-19,MM,3,Huachinango,Pre-reversal,1,7,14:55,1,Right,1,Right,Left,0,,,,,
20-Dec-19,MM,3,Huachinango,Pre-reversal,1,8,14:56,1,Left,1,Left,Left,0,,,,,
20-Dec-19,MM,3,Huachinango,Pre-reversal,1,9,14:57,1,Left,1,Left,Left,0,,,,,
20-Dec-19,MM,3,Huachinango,Pre-reversal,1,10,14:57,1,Left,1,Left,Left,0,Returned 15:00,"80% correct, 80% correct adapted",,,
23-Dec-19,MM,4,Mofongo,Pre-reversal,1,1,12:46,0,Left,2,Left,Left,0,Removed 8:50,,,,
23-Dec-19,MM,4,Mofongo,Pre-reversal,1,2,12:47,0,Right,2,Right,Left,0,,,,,
23-Dec-19,MM,4,Mofongo,Pre-reversal,1,3,12:48,1,Right,1,Right,Left,0,,,,,
23-Dec-19,MM,4,Mofongo,Pre-reversal,1,4,12:48,1,Left,1,Left,Left,0,,,,,
23-Dec-19,MM,4,Mofongo,Pre-reversal,1,5,12:49,1,Right,1,Right,Left,0,,,,,
23-Dec-19,MM,4,Mofongo,Pre-reversal,1,6,12:50,1,Right,1,Right,Left,0,,,,,
23-Dec-19,MM,4,Mofongo,Pre-reversal,1,7,12:50,1,Right,1,Right,Left,0,,,,,
23-Dec-19,MM,4,Mofongo,Pre-reversal,1,8,12:51,1,Left,1,Left,Left,0,,,,,
23-Dec-19,MM,4,Mofongo,Pre-reversal,1,9,12:52,1,Right,1,Right,Left,0,,,,,
23-Dec-19,MM,4,Mofongo,Pre-reversal,1,10,12:53,1,Right,1,Right,Left,0,Returned 12:55,"80% correct, 100% correct adapted",,,
01-Jan-20,MM,3,Chilaquile,Post-reversal,1,1,14:41,0,Left,2,Right,Left,0,Removed 12:30,,,,
01-Jan-20,MM,3,Chilaquile,Post-reversal,1,2,14:41,1,Left,1,Left,Left,0,,,,,
01-Jan-20,MM,3,Chilaquile,Post-reversal,1,3,14:42,0,Right,2,Right,Left,0,,,,,
01-Jan-20,MM,3,Chilaquile,Post-reversal,1,4,14:43,1,Right,1,Right,Left,0,,,,,
01-Jan-20,MM,3,Chilaquile,Post-reversal,1,5,14:44,0,Left,2,Left,Left,0,,,,,
01-Jan-20,MM,3,Chilaquile,Post-reversal,1,6,14:45,1,Right,1,Right,Left,0,,,,,
01-Jan-20,MM,3,Chilaquile,Post-reversal,1,7,14:46,1,Left,1,Left,Left,0,,,,,
01-Jan-20,MM,3,Chilaquile,Post-reversal,1,8,14:47,1,Right,1,Right,Left,0,,,,,
01-Jan-20,MM,3,Chilaquile,Post-reversal,1,9,14:49,1,Left,1,Left,Left,0,,,,,
01-Jan-20,MM,3,Chilaquile,Post-reversal,1,10,14:50,0,Right,2,Right,Left,0,Returned 16:06,"60% correct, 100% correct adapted",,,
16-Jan-20,MM,3,Yuca,Post-reversal,1,1,15:35,0,Left,1,Left,Left,0,Removed 12:05,,,,
16-Jan-20,MM,3,Yuca,Post-reversal,1,2,15:36,0,Right,0,Left,Left,0,,,,,
16-Jan-20,MM,3,Yuca,Post-reversal,1,3,15:38,0,Left,0,Left,Left,0,,,,,
16-Jan-20,MM,3,Yuca,Post-reversal,1,4,15:38,0,Left,1,Left,Left,0,,,,,
16-Jan-20,MM,3,Yuca,Post-reversal,1,5,15:39,0,Left,1,Left,Left,0,,,,,
16-Jan-20,MM,3,Yuca,Post-reversal,1,6,15:40,1,Right,1,N/A,Left,0,,,,,
16-Jan-20,MM,3,Yuca,Post-reversal,1,7,15:41,1,Left,1,N/A,Left,0,,,,,
16-Jan-20,MM,3,Yuca,Post-reversal,1,8,15:42,0,Right,1,Left,Left,0,,,,,
16-Jan-20,MM,3,Yuca,Post-reversal,1,9,15:44,0,Right,0,Left,Left,0,,,,,
16-Jan-20,MM,3,Yuca,Post-reversal,1,10,15:45,0,Left,0,Left,Left,0,Returned 15:46,"2/10 correct, 6/10 correct adapted first touch",,,
10-Apr-20,MM,4,Taquito,Post-reversal,1,1,15:03,0,Left,2,Left,Right,0,Removed 12:30,"hit the tube with top of his head first while reaching in, so first touch was an accident",,,
10-Apr-20,MM,4,Taquito,Post-reversal,1,2,15:04,0,Left,2,Left,Right,0,,,,,
10-Apr-20,MM,4,Taquito,Post-reversal,1,3,15:05,1,Left,1,Left,Right,0,,,,,
10-Apr-20,MM,4,Taquito,Post-reversal,1,4,15:05,1,Left,1,Left,Right,0,,,,,
10-Apr-20,MM,4,Taquito,Post-reversal,1,5,15:06,1,Left,1,Left,Right,2,,,,,
10-Apr-20,MM,4,Taquito,Post-reversal,1,6,15:09,1,Left,1,Left,Right,0,,,,,
10-Apr-20,MM,4,Taquito,Post-reversal,1,7,15:10,1,Left,1,Left,Right,0,,,,,
10-Apr-20,MM,4,Taquito,Post-reversal,1,8,15:11,1,Left,1,Left,Right,0,,,,,
10-Apr-20,MM,4,Taquito,Post-reversal,1,9,15:12,1,Left,1,Left,Right,2,,,,,
10-Apr-20,MM,4,Taquito,Post-reversal,1,10,15:15,1,Left,1,Left,Right,1,Returned 15:53,"8/10 correct, adapted first touch = 10/10 correct",,,
22-Apr-20,MM,3,Pizza,Post-reversal,1,1,13:46,-1,,,,Right,6,Removed 10:00/Returned 14:01,1/3 size piece of cracker,,,
24-Apr-20,MM,3,Pizza,Post-reversal,2,1,13:41,0,neither,,Middle,Right,3,Removed 10:00/Returned 13:57,"CORINA'S NOTE: each time he came down and pecked the plastic, this was a choice and it was a 0. It looks like he participated in 3 trials according to MM notes. He doesn't have to get the food, he just has to have the opportunity to get the food. In his case, we have to assume that he didn't know how to get the food. MM: 1/4 size piece of cracker; came to floor for about a minute after first rebait but then flew back up to perch without touching the apparatus; he came to the floor for 4.5 minutes after the 3rd rebait and touched the side of the tube but did not get inside the tube for the cracker before returning to a perch; (I continued to rebait bc the protocol says they're supposed to be allowed to eat the cracker regardless of their accuracy on the first touch); came back to floor after 5th rebait and pecked the side of the tube 3 times before walking away from the tube and then flying back up to a perch; came back to floor after 6th rebait and pecked at the side of the tube and then retreated back to his water dish without going to the end of the tube to retrieve the cracker; ended trial attempt when he flew back up to a perch",,,
24-Apr-20,MM,3,Pizza,Post-reversal,2,2,,0,neither,,Middle,Right,2,,,,,
24-Apr-20,MM,3,Pizza,Post-reversal,2,3,,0,neither,,Middle,Right,1,,,,,
26-Apr-20,KM,3,Pizza,Post-reversal,3,4,13:20,-1,,,,Right,6,Removed 1010,Used a whole goldfish; Did not come down,,,
26-Apr-20,KM,3,Pizza,Post-reversal,4,4,13:54,-1,,,,Right,6,Returned 1410,Used a whole goldfish; Did not come down,,,
27-Apr-20,MM,3,Pizza,Post-reversal,5,4,9:57,-1,,,,Right,6,Removed 08:30,"Half a goldfish, he looked like he was about to leave. the perch after rebait 4 and 5 but didn't, holding bill open for much of this trial attempt",,,
27-Apr-20,MM,3,Pizza,Post-reversal,6,4,12:15,-1,,,,Right,6,Returend 12:28,"whole goldfish; came to floor at 10s after second rebait and drank from water tub then stood on the edge of water tub with bill open; then hopped over to stand on his drain closer to the apparatus, then to other water dish at rear left of aviary for a drink, then to rock at rear right of aviary, back to water tub edge; flew back up at 6:38; rebaited 3rd time 30s after this",,,
28-Apr-20,MM,3,Pizza,Post-reversal,7,4,10:21,-1,,,,Right,6,Removed 08:50,Whole goldfish,,,
28-Apr-20,MM,3,Pizza,Post-reversal,8,4,11:08,-1,,,,Right,6,,Whole goldfish,,,
28-Apr-20,MM,3,Pizza,Post-reversal,9,4,12:10,0,neither,,Middle,Right,5,,"Whole goldfish; came to floor 18s after 5th rebait standing on his drain, then went to get a drink of water from dish and then stood on edge of tub, touched rear of tube at 4:28 after 5th rebait",,,
28-Apr-20,MM,3,Pizza,Post-reversal,9,5,12:20,-1,,,,Right,6,Returned 12:27,2 whole goldfish; EXPERIMENT ENDED in the middle of it because we had to RELEASE PIZZA = INCOMPLETE,,,
05-May-20,MM,4,Pollito,Post-reversal,1,1,11:32,1,Right,1,Right,Right,0,Removed 08:30,,,,
05-May-20,MM,4,Pollito,Post-reversal,1,2,11:32,0,Right,0,Right,Right,0,,"Did a frustration peck to right side and then to left side, but then pecked at the front of the tube too. before retrieving from the right side",,,
05-May-20,MM,4,Pollito,Post-reversal,1,3,11:33,1,Right,1,Right,Right,0,,,,,
05-May-20,MM,4,Pollito,Post-reversal,1,4,11:34,1,Right,1,Right,Right,0,,,,,
05-May-20,MM,4,Pollito,Post-reversal,1,5,11:35,1,Right,1,Right,Right,0,,,,,
05-May-20,MM,4,Pollito,Post-reversal,1,6,11:35,1,Right,1,Right,Right,0,,,,,
05-May-20,MM,4,Pollito,Post-reversal,1,7,11:36,1,Right,1,Right,Right,0,,,,,
05-May-20,MM,4,Pollito,Post-reversal,1,8,11:37,1,Right,1,Right,Right,0,,,,,
05-May-20,MM,4,Pollito,Post-reversal,1,9,11:37,1,Right,1,Right,Right,0,,,,,
05-May-20,MM,4,Pollito,Post-reversal,1,10,11:38,1,Right,1,Right,Right,0,Returned 12:24,9/10 correct,,,
