Experiment,Site,Date,ID,Session,Trial,Choice,Notes
Reversal,Sacramento,25-Jan.-21,Flan,2,21,1,
Reversal,Sacramento,25-Jan.-21,Flan,2,22,1,
Reversal,Sacramento,25-Jan.-21,Flan,2,23,1,
Reversal,Sacramento,25-Jan.-21,Flan,2,24,1,
Reversal,Sacramento,25-Jan.-21,Flan,2,25,1,
Reversal,Sacramento,25-Jan.-21,Flan,2,26,1,
Reversal,Sacramento,25-Jan.-21,Flan,2,27,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,28,1,used cracker
Reversal,Sacramento,25-Jan.-21,Flan,3,29,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,30,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,31,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,32,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,33,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,34,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,35,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,36,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,37,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,38,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,39,1,
Reversal,Sacramento,25-Jan.-21,Flan,3,40,1,Passed Initial Discrimination
Reversal,Sacramento,26-Jan.-21,Flan,1,1,0,Rewarded = LIGHT grey
Reversal,Sacramento,26-Jan.-21,Flan,1,2,0,Forgot to say trial 2 initially. then accidentally said Session 2 but meant trial 2
Reversal,Sacramento,26-Jan.-21,Flan,1,3,0,
Reversal,Sacramento,26-Jan.-21,Flan,1,4,0,
Reversal,Sacramento,26-Jan.-21,Flan,1,5,0,
Reversal,Sacramento,26-Jan.-21,Flan,1,6,0,
Reversal,Sacramento,26-Jan.-21,Flan,1,7,0,
Reversal,Sacramento,26-Jan.-21,Flan,1,8,0,
Reversal,Sacramento,26-Jan.-21,Flan,1,9,0,
Reversal,Sacramento,26-Jan.-21,Flan,1,10,0,Baited with cracker piece at 3 mins
Reversal,Sacramento,26-Jan.-21,Flan,2,11,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,12,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,13,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,14,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,15,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,16,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,17,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,18,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,19,0,Got to other tube before I could get in
Reversal,Sacramento,26-Jan.-21,Flan,2,20,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,21,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,22,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,23,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,24,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,25,0,
Reversal,Sacramento,26-Jan.-21,Flan,2,26,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,27,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,28,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,29,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,30,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,31,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,32,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,33,1,
Reversal,Sacramento,27-Jan.-21,Flan,3,34,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,35,1,
Reversal,Sacramento,27-Jan.-21,Flan,3,36,1,
Reversal,Sacramento,27-Jan.-21,Flan,3,37,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,38,1,right side bias
Reversal,Sacramento,27-Jan.-21,Flan,3,39,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,40,1,
Reversal,Sacramento,27-Jan.-21,Flan,3,41,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,42,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,43,1,
Reversal,Sacramento,27-Jan.-21,Flan,3,44,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,45,0,
Reversal,Sacramento,27-Jan.-21,Flan,3,46,1,
Reversal,Sacramento,27-Jan.-21,Flan,3,47,0,
Reversal,Sacramento,27-Jan.-21,Flan,4,48,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,49,0,
Reversal,Sacramento,27-Jan.-21,Flan,4,50,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,51,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,52,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,53,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,54,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,55,0,
Reversal,Sacramento,27-Jan.-21,Flan,4,56,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,57,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,58,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,59,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,60,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,61,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,62,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,63,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,64,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,65,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,66,1,
Reversal,Sacramento,27-Jan.-21,Flan,4,67,1,
Reversal,Sacramento,29-Jan.-21,Tembleque,1,1,-1,Baited with 1/2 MW at 3mins. Did not come down.
Reversal,Sacramento,31-Jan.-21,Tembleque,2,1,-1,"Baited with cracker piece at 4mins; Took bait, did not look in tubes. Start with yellow tube trial next session."
Reversal,Sacramento,3-Feb.-21,Tembleque,3,1,-1,Baited with cracker piece at 3min. Took bait but did not make choice. Trying whole cracker in rewarded tube. Trying more yellow tube trials
Reversal,Sacramento,4-Feb.-21,Tembleque,4,1,-1,Did not come down in 10 mins.
Reversal,Sacramento,4-Feb.-21,Tembleque,5,1,0,
Reversal,Sacramento,4-Feb.-21,Tembleque,5,2,0,
Reversal,Sacramento,4-Feb.-21,Tembleque,5,3,-1,Baited after 5 mins. did not come down after 10mins
Reversal,Sacramento,5-Feb.-21,Tembleque,6,3,-1,Baited after 5 mins. Took bait but didn't made a choice. Not baiting anymore. Doing yellow tube again. Did not come down in 10 mins.
Reversal,Sacramento,5-Feb.-21,Tembleque,7,3,-1,
Reversal,Sacramento,5-Feb.-21,Tembleque,8,3,-1,Didn't come down in 5 mins
Reversal,Sacramento,5-Feb.-21,Tembleque,9,3,-1,Trying 10 min session. Did not come down in 10 mins.
Reversal,Sacramento,7-Feb.-21,Tembleque,10,3,-1,Participated in 1 yellow tube trial immediately before reversal trial attempt. Did not come down in 10mins.
Reversal,Sacramento,7-Feb.-21,Tembleque,11,3,-1,Did not come down in 10min
Reversal,Sacramento,7-Feb.-21,Tembleque,12,3,-1,Did not come down in 10min
Reversal,Sacramento,8-Feb.-21,Tembleque,13,3,-1,Did not come down in 5 mins.
Reversal,Sacramento,8-Feb.-21,Tembleque,14,3,-1,Did not come down in 5 mins.
Reversal,Sacramento,8-Feb.-21,Tembleque,15,3,-1,Distraction: Truck sounds behind aviary. Did not come down in10 mins.
Reversal,Sacramento,8-Feb.-21,Tembleque,16,3,-1,Did not come down in 5mins. Distraction: lawn mower noises in the back.
Reversal,Sacramento,9-Feb.-21,Tembleque,17,3,-1,"Put tubes slightly closer to each other, farther away from edge. Did not come down in 10 mins."
Reversal,Sacramento,9-Feb.-21,Tembleque,18,3,-1,"Came down to table but didn't make a choice, went back up to perch. Did not come back down."
Reversal,Sacramento,9-Feb.-21,Tembleque,19,3,-1,Did not come down in 10 mins.
Reversal,Sacramento,10-Feb.-21,Tembleque,20,3,-1,Participated in 1 yellow tube trial immediately before reversal trial attempt. Did not come down in 10 mins.
Reversal,Sacramento,11-Feb.-21,Tembleque,21,3,0,Trying no table
Reversal,Sacramento,11-Feb.-21,Tembleque,21,4,-1,Did not come down in 10 mins.
Reversal,Sacramento,11-Feb.-21,Tembleque,22,4,1,
Reversal,Sacramento,11-Feb.-21,Tembleque,22,5,0,
Reversal,Sacramento,11-Feb.-21,Tembleque,22,6,-1,Did not come down in 5 mins.
Reversal,Sacramento,12-Feb.-21,Tembleque,23,6,-1,Did not come down in 5 mins.
Reversal,Sacramento,12-Feb.-21,Tembleque,24,6,-1,Did not come downin 5 mins.
Reversal,Sacramento,14-Feb.-21,Tembleque,25,6,-1,Used full goldfish and MW in rewarded tube to get him excited about participating if he finds it. Did not come down in 5mins
Reversal,Sacramento,14-Feb.-21,Tembleque,26,6,-1,Used full goldfish and MW in rewarded tube to get him excited about participating if he finds it. Did not come down in 5mins
Reversal,Sacramento,14-Feb.-21,Tembleque,27,6,-1,Used full goldfish and MW in rewarded tube to get him excited about participating if he finds it
Reversal,Sacramento,15-Feb.-21,Tembleque,28,6,-1,Used full goldfish and MW in rewarded tube. Did not come down in 5 mins.
Reversal,Sacramento,15-Feb.-21,Tembleque,29,6,-1,Used whole goldfish and MW. Did not come down in 5 mins.
Reversal,Sacramento,16-Feb.-21,Tembleque,30,6,-1,Used whole goldfish and some MW in rewarded tube. Baited ground @3mins with cracker piece closer to door to get him to cross the tubes. Came down and took bait but did not look in tubes. Did not come down in 5 mins
Reversal,Sacramento,16-Feb.-21,Tembleque,31,6,-1,Not baiting because he took the bait in the previous session without making a choice. Did not come down in 5 mins.
Reversal,Sacramento,17-Feb.-21,Tembleque,32,6,-1,Did not come down in 5 mins.
Reversal,Sacramento,17-Feb.-21,Tembleque,33,6,-1,Did not come down in 5 mins.
Reversal,Sacramento,18-Feb.-21,Tembleque,34,6,-1,Did not come down in 5 mins.
Reversal,Sacramento,18-Feb.-21,Tembleque,35,6,-1,Did not come down in 5 mins.
Reversal,Sacramento,19-Feb.-21,Tembleque,36,6,-1,Did not come down in 5 mins
Reversal,Sacramento,21-Feb.-21,Tembleque,37,6,-1,"Did not come down in 5 mins, but immediately participated in yellow tube trial right before."
Reversal,Sacramento,21-Feb.-21,Tembleque,38,6,-1,Did not come down in 5 mins
Reversal,Sacramento,1-Mar-21,Tembleque,39,6,-1,10 min trial. Baited @5mins. Took bait but did not look in tube. Did not come down in 10 mins.
Reversal,Sacramento,1-Mar-21,Tembleque,40,6,-1,10 min trial. Did not come down in 10 mins.
Reversal,Sacramento,2-Mar-21,Tembleque,41,6,-1,10 min trial. Baited @3mins. Took bait but did not look in tube. Did not come down in 10 mins.
Reversal,Sacramento,2-Mar-21,Tembleque,42,6,1,10 min trial.
Reversal,Sacramento,2-Mar-21,Tembleque,42,7,0,
Reversal,Sacramento,2-Mar-21,Tembleque,42,8,1,
Reversal,Sacramento,2-Mar-21,Tembleque,42,9,0,
Reversal,Sacramento,2-Mar-21,Tembleque,42,10,1,
Reversal,Sacramento,2-Mar-21,Tembleque,42,11,1,
Reversal,Sacramento,2-Mar-21,Tembleque,42,12,-1,Came to waterbath then flew back up. Did not come down in 5 mins.
Reversal,Sacramento,3-Mar-21,Tembleque,43,12,0,
Reversal,Sacramento,3-Mar-21,Tembleque,43,13,1,
Reversal,Sacramento,3-Mar-21,Tembleque,43,14,1,Came down to finish cracker from previous trial
Reversal,Sacramento,3-Mar-21,Tembleque,43,15,1,
Reversal,Sacramento,3-Mar-21,Tembleque,43,16,1,
Reversal,Sacramento,3-Mar-21,Tembleque,43,17,1,
Reversal,Sacramento,3-Mar-21,Tembleque,43,18,-1,Didn't come down in 5 mins.
Reversal,Sacramento,4-Mar-21,Tembleque,44,18,1,
Reversal,Sacramento,4-Mar-21,Tembleque,44,19,1,
Reversal,Sacramento,4-Mar-21,Tembleque,44,20,-1,Didn't come down in 5 mins.
Reversal,Sacramento,5-Mar-21,Tembleque,45,20,1,
Reversal,Sacramento,5-Mar-21,Tembleque,45,21,1,
Reversal,Sacramento,5-Mar-21,Tembleque,45,22,1,
Reversal,Sacramento,5-Mar-21,Tembleque,45,23,1,
Reversal,Sacramento,5-Mar-21,Tembleque,45,24,1,
Reversal,Sacramento,5-Mar-21,Tembleque,45,25,-1,Did not come down in 5 mins.
Reversal,Sacramento,7-Mar-21,Tembleque,46,25,1,
Reversal,Sacramento,7-Mar-21,Tembleque,46,26,1,
Reversal,Sacramento,7-Mar-21,Tembleque,46,27,1,
Reversal,Sacramento,7-Mar-21,Tembleque,1,1,-1,Rewarded = LIGHT grey ; did not come down in 5mins.
Reversal,Sacramento,8-Mar-21,Tembleque,2,1,0,Distraction: noises in background
Reversal,Sacramento,8-Mar-21,Tembleque,2,2,0,Distraction: noises in background
Reversal,Sacramento,8-Mar-21,Tembleque,2,3,0,Distraction: noises in background
Reversal,Sacramento,8-Mar-21,Tembleque,2,4,0,Distraction: noises in background.
Reversal,Sacramento,8-Mar-21,Tembleque,2,5,-1,Distraction: noises in background. Did not come down in 5mins.
Reversal,Sacramento,8-Mar-21,Tembleque,3,5,-1,Distraction: noise in background. 10 min trial.
Reversal,Sacramento,9-Mar-21,Tembleque,4,5,0,
Reversal,Sacramento,9-Mar-21,Tembleque,4,6,-1,Baited @3mins. Took bait without looking in tubes. Did not come down in 5mins.
Reversal,Sacramento,10-Mar-21,Tembleque,5,6,0,
Reversal,Sacramento,10-Mar-21,Tembleque,5,7,0,
Reversal,Sacramento,10-Mar-21,Tembleque,5,8,-1,Did not come down in 5mins.
Reversal,Sacramento,11-Mar-21,Tembleque,6,8,0,Baited @5mins
Reversal,Sacramento,11-Mar-21,Tembleque,6,9,-1,"Baited @3mins, took bait but did not make a choice.10 min trial. Did not come down"
Reversal,Sacramento,12-Mar-21,Tembleque,7,9,0,Not baiting becuase he took bait without making choice last trial.
Reversal,Sacramento,12-Mar-21,Tembleque,7,10,0,
Reversal,Sacramento,12-Mar-21,Tembleque,7,11,0,
Reversal,Sacramento,12-Mar-21,Tembleque,7,12,1,
Reversal,Sacramento,12-Mar-21,Tembleque,7,13,-1,Did not come down in 5mins.
Reversal,Sacramento,14-Mar-21,Tembleque,8,13,-1,Did not come down in 5mins.
Reversal,Sacramento,15-Mar-21,Tembleque,9,13,-1,Did not come down in 5mins.
Reversal,Sacramento,15-Mar-21,Tembleque,10,13,-1,"Walked to left side and started picking at ground, did not look in tube. Standing on ground the whole time. Did not make choice in 10mins."
Reversal,Sacramento,15-Mar-21,Tembleque,11,13,0,Baited @5mins.
Reversal,Sacramento,15-Mar-21,Tembleque,11,14,-1,Baited @5mins. Did not come down in 10mins.
Reversal,Sacramento,16-Mar-21,Tembleque,12,14,-1,Baited ground @5mins. Did not come down in 10mins.
Reversal,Sacramento,16-Mar-21,Tembleque,13,14,0,Baited in 2mins
Reversal,Sacramento,16-Mar-21,Tembleque,13,15,1,Baited @2min
Reversal,Sacramento,16-Mar-21,Tembleque,13,16,1,
Reversal,Sacramento,17-Mar-21,Tembleque,14,17,1,
Reversal,Sacramento,17-Mar-21,Tembleque,14,18,1,
Reversal,Sacramento,17-Mar-21,Tembleque,14,19,0,
Reversal,Sacramento,17-Mar-21,Tembleque,14,20,0,
Reversal,Sacramento,17-Mar-21,Tembleque,14,21,1,
Reversal,Sacramento,17-Mar-21,Tembleque,14,22,1,
Reversal,Sacramento,17-Mar-21,Tembleque,14,23,1,
Reversal,Sacramento,17-Mar-21,Tembleque,14,24,1,
Reversal,Sacramento,17-Mar-21,Tembleque,14,25,1,
Reversal,Sacramento,17-Mar-21,Tembleque,14,26,1,
Reversal,Sacramento,17-Mar-21,Tembleque,14,27,0,
Reversal,Sacramento,17-Mar-21,Tembleque,14,28,1,
Reversal,Sacramento,17-Mar-21,Tembleque,14,29,1,
Reversal,Sacramento,17-Mar-21,Tembleque,14,30,1,
Reversal,Sacramento,18-Mar-21,Tembleque,15,31,0,
Reversal,Sacramento,18-Mar-21,Tembleque,15,32,1,
Reversal,Sacramento,18-Mar-21,Tembleque,15,33,1,
Reversal,Sacramento,18-Mar-21,Tembleque,15,34,1,
Reversal,Sacramento,18-Mar-21,Tembleque,15,35,-1,
Reversal,Sacramento,18-Mar-21,Tembleque,16,35,-1,
Reversal,Sacramento,18-Mar-21,Tembleque,17,35,1,
Reversal,Sacramento,18-Mar-21,Tembleque,17,36,1,
Reversal,Sacramento,18-Mar-21,Tembleque,17,37,1,
Reversal,Sacramento,18-Mar-21,Tembleque,17,38,1,
Reversal,Sacramento,18-Mar-21,Tembleque,17,39,1,Passed R1 = 9/10 + 8/10 = 18/20
Reversal,Sacramento,18-Mar-21,Tembleque,17,40,1,
Reversal,Sacramento,8-Feb.-21,Polvorones,1,1,0,Rewarded: light grey. Baited @3mins.
Reversal,Sacramento,8-Feb.-21,Polvorones,1,2,-1,Baited @5mins Did not come down in 10 mins.
Reversal,Sacramento,8-Feb.-21,Polvorones,2,2,-1,Baited @4mins. Did not come down in 10 mins.
Reversal,Sacramento,8-Feb.-21,Polvorones,3,2,-1,Baited @3mins. Distraction: lawn mower behind aviary. Did not come down in 5 mins. Try table in aviary tomorrow
Reversal,Sacramento,9-Feb.-21,Polvorones,4,2,-1,Came down to table but didn't look inside tube. Baited @5mins. Took bait but did not make a choice. Did not come down in 10 mins.
Reversal,Sacramento,9-Feb.-21,Polvorones,5,2,-1,"Tubes slightly closer to each other, farther from edge. And table slightly farther back. Baited @5mins. Took bait again and didn't make a choice. Not baiting anymore. Did not come down in 10 mins"
Reversal,Sacramento,9-Feb.-21,Polvorones,6,2,-1,Tried sitting more to the side. Distraction: lawn mower noise in background. Did not come down in 10 mins. Try yellow tube trials tomorrow.
Reversal,Sacramento,10-Feb.-21,Polvorones,7,2,-1,Did not come down in 10 mins.
Reversal,Sacramento,10-Feb.-21,Polvorones,8,2,-1,Did not come down in 10 mins. Participated in one trial where he successfully obtained a nonvisible cracker form tube.
Reversal,Sacramento,11-Feb.-21,Polvorones,9,2,1,
Reversal,Sacramento,11-Feb.-21,Polvorones,9,3,0,
Reversal,Sacramento,11-Feb.-21,Polvorones,9,4,1,
Reversal,Sacramento,11-Feb.-21,Polvorones,9,5,1,
Reversal,Sacramento,11-Feb.-21,Polvorones,9,6,0,
Reversal,Sacramento,11-Feb.-21,Polvorones,9,7,-1,Did not come down in 5 mins.
Reversal,Sacramento,11-Feb.-21,Polvorones,10,7,1,
Reversal,Sacramento,11-Feb.-21,Polvorones,10,8,1,
Reversal,Sacramento,11-Feb.-21,Polvorones,10,9,1,
Reversal,Sacramento,11-Feb.-21,Polvorones,10,10,-1,Did not come down in 5 mins.
Reversal,Sacramento,12-Feb.-21,Polvorones,11,10,0,Using smaller cracker pieces to get him to work longer
Reversal,Sacramento,12-Feb.-21,Polvorones,11,11,1,
Reversal,Sacramento,12-Feb.-21,Polvorones,11,12,1,
Reversal,Sacramento,12-Feb.-21,Polvorones,11,13,1,
Reversal,Sacramento,12-Feb.-21,Polvorones,11,14,1,
Reversal,Sacramento,12-Feb.-21,Polvorones,11,15,1,
Reversal,Sacramento,12-Feb.-21,Polvorones,11,16,1,
Reversal,Sacramento,12-Feb.-21,Polvorones,11,17,1,
Reversal,Sacramento,12-Feb.-21,Polvorones,11,18,1,
Reversal,Sacramento,12-Feb.-21,Polvorones,11,19,1,
Reversal,Sacramento,12-Feb.-21,Polvorones,11,20,1,
Reversal,Sacramento,12-Feb.-21,Polvorones,12,21,0,
Reversal,Sacramento,12-Feb.-21,Polvorones,12,22,1,
Reversal,Sacramento,12-Feb.-21,Polvorones,12,23,1,Came down to table but then flew back up to perch.
Reversal,Sacramento,12-Feb.-21,Polvorones,12,24,1,
Reversal,Sacramento,14-Feb.-21,Polvorones,1,1,0,Rewarded = DARK grey
Reversal,Sacramento,14-Feb.-21,Polvorones,1,2,0,
Reversal,Sacramento,14-Feb.-21,Polvorones,1,3,0,
Reversal,Sacramento,14-Feb.-21,Polvorones,1,4,0,
Reversal,Sacramento,14-Feb.-21,Polvorones,1,5,0,
Reversal,Sacramento,14-Feb.-21,Polvorones,1,6,-1,Did not come down in 5mins
Reversal,Sacramento,14-Feb.-21,Polvorones,2,6,0,
Reversal,Sacramento,14-Feb.-21,Polvorones,2,7,-1,Did not come down in 5mins
Reversal,Sacramento,14-Feb.-21,Polvorones,3,7,0,
Reversal,Sacramento,14-Feb.-21,Polvorones,3,8,-1,Did not come down in 5mins
Reversal,Sacramento,15-Feb.-21,Polvorones,4,8,0,
Reversal,Sacramento,15-Feb.-21,Polvorones,4,9,-1,Did not come down in 5 mins
Reversal,Sacramento,15-Feb.-21,Polvorones,5,9,0,
Reversal,Sacramento,15-Feb.-21,Polvorones,5,10,-1,Did not come down in 5 mins.
Reversal,Sacramento,16-Feb.-21,Polvorones,6,10,-1,Baited @3mins. Took bait but did not make choice. Did not come down in 5 mins.
Reversal,Sacramento,16-Feb.-21,Polvorones,7,10,-1,Not baiting because he took the bait but did not make a choice in last session.
Reversal,Sacramento,16-Feb.-21,Polvorones,8,10,0,
Reversal,Sacramento,16-Feb.-21,Polvorones,8,11,0,
