Bird Name,Date,Time,LatDegrees,LatMinutes,LatSeconds,Latitude,LonDegrees,LonMinutes,LonSeconds,Longitude
Sincronizada,2018-12-27,9:39:00,33,25,28.99,33.42471944,111,55,44.83,-111.9291194
Salsa,2018-12-27,10:20:00,33,25,22.11,33.42280833,111,55,11.66,-111.9199056
Empanada,2018-12-27,10:31:00,33,25,22.05,33.42279167,111,55,11.85,-111.9199583
Flauta,2018-12-27,10:31:00,33,25,22.05,33.42279167,111,55,11.85,-111.9199583
Salsa,2019-01-09,10:10:00,33,25,20.92,33.42247778,111,55,10.25,-111.9195139
Empanada,2019-01-09,10:10:00,33,25,20.92,33.42247778,111,55,10.25,-111.9195139
Flauta,2019-01-09,10:10:00,33,25,20.92,33.42247778,111,55,10.25,-111.9195139
Chile,2019-01-08,10:30:00,33,25,13.43,33.42039722,111,55,48.61,-111.9301694
Taquito,2019-01-09,11:02:00,33,25,12.76,33.42021111,111,55,40.37,-111.9278806
Ceviche,2019-01-09,11:10:00,33,25,12.44,33.42012222,111,55,41.3,-111.9281389
Palomita,2019-01-11,8:45:00,33,25,13.59,33.42044167,111,55,41.89,-111.9283028
Pico,2019-01-14,7:56:00,33,25,6,33.41833333,111,56,12.61,-111.9368361
Nacho,2019-01-14,8:35:00,33,25,13.27,33.42035278,111,55,43.4,-111.9287222
Chile,2019-01-14,8:35:00,33,25,13.27,33.42035278,111,55,43.4,-111.9287222
Tortilla,2019-01-14,9:32:00,33,25,15.42,33.42095,111,55,38.33,-111.9273139
Palomita,2019-01-14,9:32:00,33,25,15.42,33.42095,111,55,38.33,-111.9273139
Ceviche,2019-01-14,9:32:00,33,25,15.42,33.42095,111,55,38.33,-111.9273139
Chile,2019-01-14,9:32:00,33,25,15.42,33.42095,111,55,38.33,-111.9273139
Roja,2019-01-14,10:13:00,33,25,16.75,33.42131944,111,55,49.14,-111.9303167
Roja,2019-01-14,10:35:00,33,25,22.86,33.42301667,111,55,50.05,-111.9305694
Salsa,2019-01-14,11:12:00,33,25,20.92,33.42247778,111,55,10.25,-111.9195139
Papa,2019-01-14,11:12:00,33,25,20.92,33.42247778,111,55,10.25,-111.9195139
Flauta,2019-01-14,11:12:00,33,25,20.92,33.42247778,111,55,10.25,-111.9195139
Tortilla,2019-01-14,1:13:00,33,25,13.71,33.420475,111,55,38.21,-111.9272806
Chile,2019-01-14,1:13:00,33,25,13.71,33.420475,111,55,38.21,-111.9272806
Palomita,2019-01-14,1:17:00,33,25,12.66,33.42018333,111,55,41.14,-111.9280944
Ceviche,2019-01-14,2:22:00,33,25,12.49,33.42013611,111,55,38.66,-111.9274056
Tortilla,2019-01-14,2:22:00,33,25,12.49,33.42013611,111,55,38.66,-111.9274056
Fajita,2019-01-16,7:44:00,33,25,22.05,33.42279167,111,55,55.17,-111.9319917
Tortilla,2019-01-16,11:19:00,33,25,17.37,33.42149167,111,55,50.5,-111.9306944
Taquito,2019-01-16,11:06:00,33,25,17.44,33.42151111,111,55,49.32,-111.9303667
Fajita,2019-01-16,13:20:00,33,25,22.7,33.42297222,111,55,55.89,-111.9321917
Palomita,2019-01-16,13:33:00,33,25,12.41,33.42011389,111,55,41.33,-111.9281472
Chile,2019-01-16,14:38:00,33,25,12.66,33.42018333,111,55,39.08,-111.9275222
Chile,2019-01-17,7:55:00,33,25,19.14,33.42198333,111,55,48.27,-111.930075
Chimichanga,2019-01-17,10:41:00,33,25,4.66,33.41796111,111,56,11.59,-111.9365528
Tomatillo,2019-01-17,2:36:00,33,24,36.26,33.41007222,111,56,4.32,-111.9345333
Tomatillo,2019-01-17,3:42:00,33,24,37.27,33.41035278,111,56,3.89,-111.9344139
Chalupa,2019-01-18,1:07:00,33,25,7.63,33.41878611,111,56,10.84,-111.9363444
Chalupa,2019-01-18,3:59:00,33,25,7.46,33.41873889,111,56,9.85,-111.9360694
Chimichanga,2019-01-18,4:39:00,33,25,7.42,33.41872778,111,56,7.25,-111.9353472
Chalupa,2019-01-18,4:50:00,33,25,8.22,33.41895,111,56,8.18,-111.9356056
Chalupa,2019-01-18,5:13:00,33,25,7.37,33.41871389,111,56,6.16,-111.9350444
Chalupa,2019-01-18,5:33:00,33,25,18.18,33.42171667,111,56,12.192,-111.93672
Chalupa,2019-01-18,5:42:00,33,25,16.1,33.42113889,111,56,11.89,-111.9366361
Chimichanga,2019-01-18,5:42:00,33,25,16.1,33.42113889,111,56,11.89,-111.9366361
Tortilla,2019-01-20,9:36:00,33,25,21.16,33.42254444,111,55,50.84,-111.9307889
Chalupa,2019-01-21,7:30:00,33,25,16.44,33.42123333,111,56,10.25,-111.9361806
Chimichanga,2019-01-21,7:30:00,33,25,14.8,33.42077778,111,56,8.2,-111.9356111
Pico,2019-01-21,7:30:00,33,25,14.8,33.42077778,111,56,8.2,-111.9356111
Morada,2019-01-21,7:45:00,33,25,18.48,33.4218,111,56,5.43,-111.9348417
Chalupa,2019-01-21,7:55:00,33,25,14.31,33.42064167,111,56,10.31,-111.9361972
Chalupa,2019-01-21,8:15:00,33,25,19.61,33.42211389,111,56,10.03,-111.9361194
Chalupa,2019-01-21,8:20:00,33,25,17.83,33.42161944,111,56,12.27,-111.9367417
Chalupa,2019-01-21,8:35:00,33,25,15.28,33.42091111,111,56,11.39,-111.9364972
Chalupa,2019-01-21,9:00:00,33,25,18.94,33.42192778,111,56,11.28,-111.9364667
Chimichanga,2019-01-21,9:00:00,33,25,18.94,33.42192778,111,56,11.28,-111.9364667
Morada,2019-01-21,9:05:00,33,25,19.39,33.42205278,111,56,9.51,-111.935975
Chalupa,2019-01-21,9:15:00,33,25,19.43,33.42206389,111,56,11.58,-111.93655
Chalupa,2019-01-18,5:33:00,33,25,17.91,33.42164167,111,56,11.71,-111.9365861
Chalupa,2019-01-21,1:00:00,33,25,20.05,33.42223611,111,56,10.58,-111.9362722
Chalupa,2019-01-21,1:20:00,33,25,20.05,33.42223611,111,56,10.58,-111.9362722
Chalupa,2019-01-21,1:35:00,33,25,19.35,33.42204167,111,56,11.39,-111.9364972
Chalupa,2019-01-21,1:45:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Chalupa,2019-01-21,1:55:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Chalupa,2019-01-21,2:10:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Chalupa,2019-01-21,2:20:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Chalupa,2019-01-21,2:30:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Chalupa,2019-01-21,2:40:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Chalupa,2019-01-22,7:10:00,33,25,17.91,33.42164167,111,56,11.71,-111.9365861
Chalupa,2019-01-22,7:30:00,33,25,15.24,33.4209,111,56,9.94,-111.9360944
Chalupa,2019-01-22,7:40:00,33,25,15.63,33.42100833,111,56,9.86,-111.9360722
Chimichanga,2019-01-22,7:40:00,33,25,15.63,33.42100833,111,56,9.86,-111.9360722
Chalupa,2019-01-22,8:05:00,33,25,18.61,33.42183611,111,56,8.61,-111.935725
Chalupa,2019-01-22,8:10:00,33,25,16.68,33.4213,111,56,8.22,-111.9356167
Chalupa,2019-01-22,8:15:00,33,25,16.6,33.42127778,111,56,9.75,-111.9360417
Morada,2019-01-22,8:15:00,33,25,16.6,33.42127778,111,56,9.75,-111.9360417
Chalupa,2019-01-22,8:25:00,33,25,20.25,33.42229167,111,56,9.68,-111.9360222
Chalupa,2019-01-22,8:35:00,33,25,20.25,33.42229167,111,56,9.68,-111.9360222
Chalupa,2019-01-22,8:45:00,33,25,20.25,33.42229167,111,56,9.68,-111.9360222
Chimichanga,2019-01-22,8:45:00,33,25,20.61,33.42239167,111,56,12.19,-111.9367194
Chalupa,2019-01-22,8:55:00,33,25,19.61,33.42211389,111,56,10.24,-111.9361778
Fajita,2019-01-22,9:10:00,33,25,20.48,33.42235556,111,55,52.41,-111.931225
Fajita,2019-01-22,11:20:00,33,25,18.69,33.42185833,111,55,47.99,-111.9299972
Taquito,2019-01-22,11:20:00,33,25,18.69,33.42185833,111,55,47.99,-111.9299972
Roja,2019-01-22,12:28:00,33,25,18.77,33.42188056,111,55,46.28,-111.9295222
Chalupa,2019-01-23,10:30:00,33,25,19.4,33.42205556,111,56,11.36,-111.9364889
Chalupa,2019-01-23,10:40:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Chalupa,2019-01-23,11:05:00,33,25,19.04,33.42195556,111,56,11.49,-111.936525
Chalupa,2019-01-23,11:15:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Roja,2019-01-24,7:32:00,,,,33.422015,,,,-111.929297
Taquito,2019-01-24,7:44:00,,,,33.421911,,,,-111.929295
Tortilla,2019-01-24,7:50:00,,,,33.421896,,,,-111.929514
Chalupa,2019-01-24,9:36:00,,,,33.422199,,,,-111.936608
Palomita,2019-01-24,12:35:00,,,,33.420113,,,,-111.928146
Taquito,2019-01-24,12:35:00,,,,33.420113,,,,-111.928146
Chalupa,2019-01-28,10:15:00,33,25,19.04,33.42195556,111,56,11.49,-111.936525
Chalupa,2019-01-28,10:30:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Chalupa,2019-01-28,1:10:00,33,25,19.4,33.42205556,111,56,11.36,-111.9364889
Chalupa,2019-01-28,1:20:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Chalupa,2019-01-28,1:30:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Morada,2019-01-28,1:30:00,33,25,19.72,33.42214444,111,56,10.84,-111.9363444
Chalupa,2019-01-29,7:15:00,33,25,17.91,33.42164167,111,56,11.71,-111.9365861
Chalupa,2019-01-29,7:25:00,33,25,15.24,33.4209,111,56,9.94,-111.9360944
Chalupa,2019-01-29,7:35:00,33,25,14.98,33.42082778,111,56,10.02,-111.9361167
Chalupa,2019-01-29,8:00:00,33,25,20.25,33.42229167,111,56,9.68,-111.9360222
Chalupa,2019-01-29,8:05:00,33,25,17.88,33.42163333,111,56,9.11,-111.9358639
Chalupa,2019-01-29,8:10:00,33,25,15.41,33.42094722,111,56,8.15,-111.9355972
Pico,2019-01-29,1:00:00,33,25,7.57,33.41876944,111,56,13.03,-111.9369528
Jamaica,2019-01-29,1:00:00,33,25,7.57,33.41876944,111,56,13.03,-111.9369528
Chimichanga,2019-01-29,1:00:00,33,25,7.57,33.41876944,111,56,13.03,-111.9369528
Chalupa,2019-01-30,1:15:00,33,25,19.04,33.42195556,111,56,11.49,-111.936525
Chalupa,2019-01-30,1:30:00,33,25,19.04,33.42195556,111,56,11.49,-111.936525
Chalupa,2019-01-30,1:32:00,33,25,19.04,33.42195556,111,56,11.49,-111.936525
Chalupa,2019-01-30,1:35:00,33,25,19.04,33.42195556,111,56,11.49,-111.936525
Chalupa,2019-01-30,1:45:00,33,25,19.04,33.42195556,111,56,11.49,-111.936525
Chalupa,2019-02-04,7:40:00,33,25,18.93,33.421925,111,56,11.23,-111.9364528
Fajita,2019-02-04,8:15:00,33,25,20.6,33.42238889,111,55,52.19,-111.9311639
Calabazo,2019-02-04,10:06:00,33,24,37.28,33.41035556,111,56,3.93,-111.934425
Calabazo,2019-02-07,10:23:00,33,24,36.18,33.41005,111,56,5.02,-111.9347278
Pico,2019-02-07,11:55:00,33,25,7.51,33.41875278,111,56,9.82,-111.9360611
Jamaica,2019-02-07,12:30:00,33,25,7.54,33.41876111,111,56,11.6,-111.9365556
Roja,2019-02-11,7:59:00,33,25,18.91,33.42191944,111,55,45.9,-111.9294167
Ceviche,2019-02-11,10:26:00,33,25,12.58,33.42016111,111,55,37.27,-111.9270194
Chalupa,2019-02-11,12:38:00,33,25,19.68,33.42213333,111,56,10.6,-111.9362778
Chimichanga,2019-02-18,10:37:00,,,,33.42145913,,,,-111.9357267
Chalupa,2019-02-18,10:41:00,,,,33.42175006,,,,-111.9359013
Papa,2019-02-18,1:49:00,,,,33.4234916,,,,-111.9196864
Taquito,2019-02-18,12:22:00,,,,33.42168228,,,,-111.9300285
Chile,2019-02-20,10:54:00,,,,33.42044706,,,,-111.9271723
Jamaica,2019-02-27,1:27:00,,,,33.41871455,,,,-111.937206
Becky,2019-02-27,2:36:00,,,,33.42230208,,,,-111.9337442
Tortilla,2019-02-26,11:27:00,,,,33.42126287,,,,-111.9304283
Becky,2019-03-04,6:51:00,33,25,20.16,33.42226667,111,55,57.86,-111.9327389
Ceviche,2019-03-07,8:29:00,33,25,15.83,33.42106389,111,55,35.37,-111.9264917
Aquaman,2019-03-07,9:02:00,33,25,8.36,33.41898889,111,55,36.84,-111.9269
Cochinita,2019-03-07,9:45:00,33,25,8.54,33.41903889,111,55,43.38,-111.9287167
Taquito,2019-03-11,2:15:00,33,25,18.58,33.42182778,111,55,45.72,-111.9293667
Roja,2019-03-11,2:16:00,33,25,18.86,33.42190556,111,55,45.8,-111.9293889
Tortilla,2019-03-11,2:16:00,33,25,18.86,33.42190556,111,55,45.8,-111.9293889
Palomita,2019-03-11,1:40:00,,,,33.42035454,,,,-111.927095
Calabazo,2019-03-13,8:03:00,33,24,37.84,33.41051111,111,56,3.22,-111.9342278
Aquaman,2019-03-13,1:48:00,33,25,12.56,33.42015556,111,55,40.19,-111.9278306
Chalupa,2019-03-17,9:15:00,,,,33.42193672,,,,-111.9363266
Chalupa,2019-03-17,9:15:00,,,,33.42217435,,,,-111.9365325
Chile,2019-03-18,9:15:00,,,,33.42038684,,,,-111.9306623
Tortilla,2019-03-18,10:12:00,,,,33.42117687,,,,-111.9300416
Roja,2019-03-18,10:12:00,,,,33.42117687,,,,-111.9300416
Aquaman,2019-03-18,10:54:00,,,,33.41949247,,,,-111.9267109
Chimichanga,2019-03-19,7:43:00,,,,33.42082868,,,,-111.9355546
Morada,2019-03-19,7:43:00,,,,33.42082868,,,,-111.9355546
Chalupa,2019-03-21,7:51:00,,,,33.42101292,,,,-111.9355981
Aquaman,2019-03-21,12:01:00,,,,33.41917197,,,,-111.9277172
Torta,2019-03-21,12:01:00,,,,33.41917197,,,,-111.9277172
Cochinita,2019-03-21,12:01:00,,,,33.41894984,,,,-111.9277228
Pico,2019-03-25,7:46:00,,,,33.41864227,,,,-111.9374605
Jamaica,2019-03-25,7:48:00,,,,33.41847873,,,,-111.9375559
Jamaica,2019-03-25,7:52:00,,,,33.41804424,,,,-111.9377483
Jamaica,2019-03-25,7:52:00,,,,33.41793678,,,,-111.938291
Jamaica,2019-03-25,7:57:00,,,,33.41838906,,,,-111.9364871
Pico,2019-03-25,7:57:00,,,,33.41838906,,,,-111.9364871
Taquito,2019-03-25,10:34:00,,,,33.42027299,,,,-111.9308135
Chile,2019-03-25,10:37:00,,,,33.42027299,,,,-111.9308135
Chile,2019-03-25,11:59:00,,,,33.42174465,,,,-111.9302108
Aquaman,2019-03-25,1:24:00,,,,33.41909728,,,,-111.9270856
Nacho,2019-03-26,8:19:00,,,,33.42025185,,,,-111.9275055
Palomita,2019-01-31,11:33:00,,,,33.42027872,,,,-111.9281531
Chimichanga,2019-03-27,10:08:00,,,,33.41834986,,,,-111.9361917
Jamaica,2019-03-27,10:15:00,,,,33.41875744,,,,-111.9369253
Roja,2019-04-01,6:35:00,,,,33.42377834,,,,-111.9304761
Tortilla,2019-04-01,8:02:00,,,,33.42031171,,,,-111.9331623
Tostada,2019-04-01,8:52:00,33,25,17.26,33.42146111,111,56,1.95,-111.933875
Chile,2019-04-03,9:50:00,33,25,12.9,33.42025,111,55,46.45,-111.9295694
Queso,2019-04-04,11:41:00,33,25,30.54,33.42515,111,55,40.25,-111.9278472
Queso,2019-04-04,2:34:00,33,25,25.61,33.42378056,111,55,30.68,-111.9251889
Queso,2019-04-04,6:58:00,33,25,17.5,33.42152778,111,55,14.61,-111.920725
Queso,2019-04-08,6:31:00,33,25,23.74,33.42326111,111,55,27.75,-111.924375
Tortilla,2019-04-08,7:32:00,33,25,13.43,33.42039722,111,55,59.25,-111.933125
Shakira,2019-04-08,8:54:00,33,25,0.61,33.41683611,111,55,48.9,-111.93025
Queso,2019-04-09,6:27:00,33,25,23.35,33.42315278,111,55,28.72,-111.9246444
Mixiote,2019-04-09,8:09:00,33,25,6.08,33.41835556,111,55,46.75,-111.9296528
Mixiote,2019-04-09,8:33:00,,,,33.41816293,,,,-111.9297159
Queso,2019-04-10,6:19:00,,,,33.4235133,,,,-111.9249788
Guapo,2019-04-10,8:44:00,,,,33.4222137,,,,-111.9200966
Platana,2019-04-10,8:46:00,,,,33.4225759,,,,-111.9198404
Mixiote,2019-04-10,9:44:00,,,,33.4174842,,,,-111.9302781
Nopal,2019-04-10,9:44:00,,,,33.4174842,,,,-111.9302781
Queso,2019-04-11,6:07:00,,,,33.4231659,,,,-111.9244193
Nacho,2019-04-11,8:25:00,,,,33.42027412,,,,-111.9291393
Shakira,2019-04-11,9:43:00,,,,33.41825986,,,,-111.9297608
Calabazo,2019-04-15,8:51:00,,,,33.4093511,,,,-111.9350874
Jamaica,2019-04-15,11:17:00,,,,33.4187629,,,,-111.9362906
Pico,2019-04-15,11:29:00,,,,33.4181094,,,,-111.9366537
Mixiote,2019-04-15,1:05:00,,,,33.41818212,,,,-111.9299702
Palomita,2019-04-15,1:12:00,,,,33.4180579,,,,-111.9301567
Shakira,2019-04-15,1:16:00,,,,33.41809386,,,,-111.9298655
Mixiote,2019-04-16,7:36:00,,,,33.41818019,,,,-111.9301703
Shakira,2019-04-16,7:37:00,,,,33.41819993,,,,-111.9299127
Taquito,2019-04-16,12:05:00,,,,33.4201035,,,,-111.9277509
Nacho,2019-04-16,1:41:00,,,,33.4203992,,,,-111.9277344
Chile,2019-04-16,1:41:00,,,,33.4203992,,,,-111.9277344
Shakira,2019-04-17,9:40:00,,,,33.4180043,,,,-111.9300584
Mixiote,2019-04-17,9:44:00,,,,33.4179432,,,,-111.9300084
Taquito,2019-04-17,10:45:00,,,,33.4179456,,,,-111.9300244
Queso,2019-04-17,11:58:00,,,,33.4229276,,,,-111.9254989
Queso,2019-04-17,12:04:00,,,,33.4229476,,,,-111.9246252
Chalupa,2019-04-17,2:36:00,,,,33.4182204,,,,-111.9365095
Queso,2019-04-17,3:19:00,,,,33.4226846,,,,-111.9244274
Quesadilla,2019-04-17,3:19:00,,,,33.4226846,,,,-111.9244274
Pico,2019-04-18,12:04:00,,,,33.4185844,,,,-111.9365146
Chalupa,2019-04-18,12:37:00,,,,33.4169752,,,,-111.9374875
Naranja,2019-04-22,6:26:00,,,,33.42410733,,,,-111.9302379
Queso,2019-04-22,7:52:00,,,,33.42357515,,,,-111.924444
Mixiote,2019-04-22,8:03:00,,,,33.41818686,,,,-111.9298647
Queso,2019-04-22,8:07:00,,,,33.42413709,,,,-111.9245245
Queso,2019-04-22,8:16:00,,,,33.423942,,,,-111.9244056
Queso,2019-04-22,8:38:00,,,,33.42370762,,,,-111.9245132
Queso,2019-04-22,8:53:00,,,,33.42369642,,,,-111.9253109
Queso,2019-04-22,7:30:00,,,,33.42366029,,,,-111.9254643
Queso,2019-04-22,9:02:00,,,,33.42382821,,,,-111.9248683
Queso,2019-04-22,9:09:00,,,,33.42370646,,,,-111.9240559
Chimichanga,2019-04-22,9:10:00,,,,33.41852234,,,,-111.9352276
Queso,2019-04-22,9:17:00,,,,33.42301309,,,,-111.9242911
Queso,2019-04-22,9:20:00,,,,33.42315756,,,,-111.9249974
Chalupa,2019-04-22,9:53:00,,,,33.41833501,,,,-111.9363132
Roja,2019-04-22,10:08:00,,,,33.4221075,,,,-111.9297084
Tortilla,2019-04-22,10:08:00,,,,33.4221075,,,,-111.9297084
Roja,2019-04-22,10:09:00,,,,33.42218728,,,,-111.9293453
Roja,2019-04-22,10:16:00,,,,33.42210845,,,,-111.9299293
Chile,2019-04-22,10:24:00,,,,33.42142187,,,,-111.9302473
Chile,2019-04-22,10:33:00,,,,33.41973507,,,,-111.929011
Chile,2019-04-22,12:05:00,,,,33.4204596,,,,-111.929554
Chile,2019-04-22,12:13:00,,,,33.42042109,,,,-111.9302223
Naranja,2019-04-22,12:19:00,,,,33.42043873,,,,-111.9294519
Nacho,2019-04-22,12:21:00,,,,33.420238,,,,-111.9291146
Palomita,2019-04-22,12:21:00,,,,33.420238,,,,-111.9291146
Nacho,2019-04-22,12:22:00,,,,33.42078478,,,,-111.9291276
Crema,2019-04-22,12:22:00,,,,33.42078478,,,,-111.9291276
Chile,2019-04-22,12:29:00,,,,33.42032522,,,,-111.9301076
Roja,2019-04-22,12:48:00,,,,33.4217492,,,,-111.9307437
Queso,2019-04-22,13:16:00,,,,33.42389045,,,,-111.9245424
Aquaman,2019-04-22,1:17:00,,,,33.41955835,,,,-111.9267805
Queso,2019-04-22,13:21:00,,,,33.42396574,,,,-111.9243274
Queso,2019-04-22,13:29:00,,,,33.4235342,,,,-111.9238435
Chimichanga,2019-04-23,9:13:00,,,,33.42213,,,,-111.93189
Queso,2019-04-23,1:06:00,,,,33.42386807,,,,-111.9247259
Sincronizada,2019-04-23,2:46:00,,,,33.4209313,,,,-111.9340229
Queso,2019-04-24,7:08:00,,,,33.42373196,,,,-111.924713
Queso,2019-04-24,7:13:00,,,,33.42404292,,,,-111.9245664
Queso,2019-04-24,7:24:00,,,,33.42373613,,,,-111.9249873
Queso,2019-04-24,7:36:00,,,,33.42416898,,,,-111.9245344
Queso,2019-04-24,7:50:00,,,,33.42394798,,,,-111.9251207
Queso,2019-04-24,7:59:00,,,,33.42389402,,,,-111.9245576
Queso,2019-04-24,8:10:00,,,,33.42352042,,,,-111.9245158
Queso,2019-04-24,8:22:00,,,,33.42402438,,,,-111.9244203
Queso,2019-04-24,8:30:00,,,,33.424462,,,,-111.925008
Queso,2019-04-24,8:41:00,,,,33.42374911,,,,-111.9244491
Queso,2019-04-24,8:55:00,,,,33.42392881,,,,-111.925144
Mole,2019-04-24,1:54:00,,,,33.40988645,,,,-111.9347569
