Response variable,n,mu1,mu2,mu3,mu1_sd,mu2_sd,mu3_sd,Difference crosses zero? S1-S2,Difference crosses zero? S1-S3,Difference crosses zero? S2-S3,Notes
loci solved,60,1.90,2.10,2.30,0.50,0.50,0.50,Yes,Yes,Yes,
loci solved,60,1.90,2.10,3.50,0.50,0.50,0.50,No,No,No,
loci solved,60,1.90,2.10,3.00,0.50,0.50,0.50,Yes,No,No,
loci solved,60,1.90,2.10,2.80,0.50,0.50,0.50,Yes,No,Yes,
loci solved,60,1.80,2.10,3.00,0.50,0.50,0.50,Yes,Yes,No,
loci solved,60,2.00,2.50,3.00,0.50,0.50,0.50,No,Yes,No,
loci solved,60,2.00,2.50,3.10,0.50,0.50,0.50,No,No,Yes,
loci solved,60,1.90,2.50,3.20,0.50,0.50,0.50,Yes,No,No,
loci solved,60,1.80,2.50,3.30,0.50,0.50,0.50,No,No,Yes,
loci solved,60,1.70,2.50,3.40,0.50,0.50,0.50,No,No,No,
loci solved,60,1.70,2.50,3.40,1.00,1.00,1.00,No,No,No,
loci solved,60,1.70,2.50,3.40,1.50,1.50,1.50,Yes,No,No,
loci solved,60,1.70,2.50,3.40,1.30,1.30,1.30,Yes,Yes,Yes,
loci solved,60,1.00,2.00,3.00,0.50,0.50,0.50,No,No,Yes,
loci solved,60,1.00,2.00,3.00,0.50,0.50,0.50,No,No,No,
loci solved,60,1.00,2.00,3.00,0.30,0.40,0.50,No,No,No,
loci solved,60,1.00,2.00,3.00,0.60,0.70,0.50,No,No,No,
loci solved,60,1.00,2.00,3.00,0.70,0.70,0.70,No,No,No,
loci solved,60,1.00,2.00,3.00,0.90,0.90,0.90,No,No,No,
loci solved,60,1.00,2.00,3.00,1.00,1.00,1.00,No,No,No,
loci solved,60,1.00,2.00,3.00,1.50,1.50,1.50,Yes,No,No,
loci solved,60,1.00,2.00,3.00,1.30,1.50,1.50,Yes,No,No,
loci solved,60,1.00,2.00,3.00,1.10,1.50,1.50,No,No,No,
loci solved,60,1.00,2.00,3.00,1.20,1.50,1.50,No,No,No,
loci solved,45,1.00,2.00,3.00,0.50,0.50,0.50,Yes,No,No,
loci solved,45,0.90,2.00,3.10,0.50,0.50,0.50,No,No,Yes,
loci solved,45,0.80,2.00,3.20,0.50,0.50,0.50,No,No,No,
loci solved,45,0.80,2.00,3.20,1.00,1.00,1.00,Yes,No,No,
loci solved,45,0.80,2.00,3.20,0.90,0.90,0.90,No,No,No,
latency,45,5.70,6.90,7.60,1000.00,1000.00,1000.00,No,No,No,
latency,45,5.80,6.90,7.50,1000.00,1000.00,1000.00,No,No,No,
latency,45,6.00,6.90,7.20,1000.00,1000.00,1000.00,No,No,Yes,
latency,45,6.00,6.90,7.30,1000.00,1000.00,1000.00,No,No,Yes,
latency,45,6.00,6.90,7.40,1000.00,1000.00,1000.00,No,No,Yes,
latency,45,6.00,6.90,7.50,1000.00,1000.00,1000.00,Yes,No,No,
latency,45,5.90,6.90,7.50,1000.00,1000.00,1000.00,No,No,Yes,
latency,45,5.90,6.90,7.60,1000.00,1000.00,1000.00,No,No,No,
latency,45,5.90,6.90,7.60,1000.00,1000.00,1000.00,No,No,No,
latency,45,5.90,6.90,7.60,1000.00,1000.00,1000.00,No,No,No,
latency,45,4.60,6.30,7.10,1000.00,1000.00,1000.00,No,No,Yes,
latency,45,4.60,6.30,7.20,1000.00,1000.00,1000.00,No,No,No,
latency,45,4.60,6.30,7.20,1000.00,1000.00,1000.00,No,No,Yes,
latency,45,4.60,6.30,7.20,1000.00,1000.00,1000.00,No,No,Yes,
latency,45,4.60,6.30,7.30,1000.00,1000.00,1000.00,No,No,No,
latency,45,4.60,6.30,7.30,1000.00,1000.00,1000.00,No,No,No,
latency,45,4.60,6.30,7.30,1000.00,1000.00,1000.00,No,No,No,
latency,60,5.70,6.90,7.60,1000.00,1000.00,1000.00,No,No,Yes,
latency,60,5.70,6.90,7.60,1000.00,1000.00,1000.00,No,No,Yes,
latency,60,5.70,6.90,7.70,1000.00,1000.00,1000.00,No,No,No,
latency,60,5.90,6.90,7.60,1000.00,1000.00,1000.00,No,No,Yes,
latency,60,5.90,6.90,7.60,1000.00,1000.00,1000.00,No,No,Yes,
latency,60,4.60,6.20,7.10,1000.00,1000.00,1000.00,Yes,No,No,
latency,60,4.60,6.20,7.10,1000.00,1000.00,1000.00,Yes,No,No,
latency,60,4.60,6.40,7.10,1000.00,1000.00,1000.00,No,No,No,
latency,60,4.60,6.30,7.10,1000.00,1000.00,1000.00,No,No,Yes,
latency,60,4.60,6.30,7.20,1000.00,1000.00,1000.00,No,No,Yes,
latency,60,4.60,6.30,7.30,1000.00,1000.00,1000.00,No,No,Yes,
latency,60,4.60,6.30,7.30,1000.00,1000.00,1000.00,No,No,No,
latency,60,4.60,6.30,7.30,1000.00,1000.00,1000.00,No,No,No,
latency,60,4.60,6.30,7.30,1000.00,1000.00,1000.00,No,No,Yes,
latency,60,4.60,6.30,7.40,1000.00,1000.00,1000.00,No,No,No,
latency,60,4.60,6.30,7.40,1000.00,1000.00,1000.00,No,No,No,
latency,60,4.60,6.30,7.40,1000.00,1000.00,1000.00,No,No,No,
latency,60,4.70,6.30,7.40,1000.00,1000.00,1000.00,Yes,No,No,
trials participated,45,0.65,0.75,0.90,0.25,0.25,0.25,No,No,No,
trials participated,45,0.70,0.75,0.82,0.25,0.25,0.25,Yes,No,No,
trials participated,45,0.67,0.75,0.85,0.25,0.25,0.25,No,Yes,No,
trials participated,45,0.67,0.75,0.90,0.25,0.25,0.25,No,No,No,
trials participated,45,0.67,0.75,0.90,0.25,0.25,0.25,No,No,No,
trials participated,45,0.67,0.75,0.90,0.25,0.25,0.25,No,No,No,
trials participated,45,0.67,0.75,0.90,0.35,0.35,0.35,Yes,No,No,
trials participated,45,0.67,0.75,0.90,0.30,0.30,0.30,Yes,No,No,
trials participated,60,0.67,0.75,0.90,0.30,0.30,0.30,No,No,No,
trials participated,60,0.70,0.75,0.81,0.30,0.30,0.30,No,Yes,No,
trials participated,60,0.70,0.75,0.81,0.25,0.25,0.25,No,Yes,No,
trials participated,60,0.68,0.75,0.83,0.25,0.25,0.25,Yes,No,No,
trials participated,60,0.67,0.75,0.83,0.25,0.25,0.25,No,No,Yes,
trials participated,60,0.67,0.75,0.83,0.25,0.25,0.25,No,No,No,
trials participated,60,0.67,0.75,0.83,0.25,0.25,0.25,No,No,No,
trials participated,60,0.67,0.75,0.83,0.25,0.25,0.25,No,No,No,
trials participated,60,0.67,0.75,0.84,0.25,0.25,0.25,Yes,No,Yes,Model breaks if I increase the SD to 0.3
