Name,BirdID,Letter,Bird #,L-leg,R-leg,L-#,R-#,Location,Coordinates,Blood,Feathers,Age,Sex,Photo,WeightBird+bag,WeightBag,BirdWeight,LeftWing,RightWing,LcentralRetrix,RcentralRetrix,LeftTarsus,RightTarsus,BillLength,BillWidth,BillDepth,SkullLength,HCT1,HCT2,HCT3,Fat,SMI,Date,Time,Trapping method,Handler,Biometrics/blood,BloodProcessing,Other people present,Notes,AviaryEntryDate,AviaryReleaseDate,RadioFrequency,Tag death date
Becky,A027BK,A,027,B,K,CL13,CL01,Fulton Center,"33.4223020778824, -111.9337442",yes,yes,J,F,yes,145,66,79,126mm,128mm,111mm,104mm,28.1mm,27.3mm,31.85mm,NA,NA,32.15mm,39%,39%,39%,0,,25 Sept 18,9:30a,Mist net,Kelsey,Kelsey,Luisa,,"keel feels muscular; Only central 2 retrices left, the other tail feathers were all still in pins",,,,
Birria,A038PG,A,038,P,G,CL12,CL10,Noble,"33.419702, -111.930282",yes,yes,A,F,yes,170,75,95,150mm,146mm,43mm,50mm,35.1mm,36.6mm,33.0mm,NA,NA,30.5mm,38%,38%,39%,1,,29-Oct-2018,9:05a,Bownet,Kelsey/Rita,Kelsey/Rita,Luisa,TJ,"Keel really prominent, skinny. Growing tail.",,,,
Botana,A012RB,A,012,R,B,CL05,CL04,Chompies,,yes,yes,A,F,yes,154,69,85,139mm,138mm,125mm,124mm,32.1mm,36.6mm,31.2mm,NA,NA,29.1mm,41%,40%,40%,,,1-May-2018,12:30p,Bownet,Zoe,Luisa,Carol,,"bald scalp, no wound, scab, or scar seen; inside digit on left foot has short stubby nail, see pics",,,,
Burrito,A068YS,A,068,Y,S,CL20,CL04,Aviary,,yes,yes,A,M,yes,-,-,-,169mm,169mm,15.8mm,16.5mm,47.3mm,51.6mm,37.8mm,9.1mm,12.6mm,36.8mm,49%,50%,50%,4,,23-Dec-2019,11:27-12:10,aviary,Kelsey,Melissa,Maggie,,,29-Sep-2019,23-Dec-2019,148.905,"lost his harness, noticed on 19-Jan-2020"
Burrito,A068YS,A,068,Y,S,CL20,CL04,Social Sciences,,yes,yes,A,M,yes,251,76,175,164mm,168mm,120mm,118mm,52.0mm,50.3mm,37.8mm,10.0mm,12.2mm,37.2mm,41%,41%,41%,0,,29-Sept-2019,9:40 - 10:35,mist net,Melissa,Melissa,Kelsey,-,molting tail feathers,29 Sep 19,23 Dec 2019,148.905,"lost his harness, noticed on 19-Jan-2020"
Calabazo,A041-O,A,041,-,O,-,CL26,Daley Park,"33.409924, -111.934790",yes,yes,A,M,yes,247,71,176,179mm,178mm,157mm,153mm,40.0mm,41.3mm,39.5mm,NA,NA,38.5mm,42%,42%,42%,2,,31-Oct-2018,8:30a,mist net,Rita/Dieter,Dieter/Luisa,Luisa,Kelsey,"very muscular keel, no obvious injuries",,,,
Cebollita,A052GA,A,052,G,A,CL15,CL04,Health Services,"33.4217249, -111.9329267",yes,yes,A,F,yes,168,65,103,133mm,136mm,117mm,118mm,36.8mm,36.0mm,31.5mm,NA,NA,31.3mm,44%,43%,43%,0,,1-Apr-2019,11:30a,Mist net,Melissa,Melissa,Luisa,Kelsey,"swollen abdomen, presumably egg inside",,,,
Cemita,A051KG,A,051,K,G,CL10,CL16,SkySpace,"33.419480, -111.926639",yes,yes,A,F,yes,170,74,96,141mm,143mm,133mm,133mm,41.0mm,40.9mm,29.6mm,NA,NA,28.2mm,43%,43%,43%,0,,21-Mar-2019,12:30p,Mist net,Melissa,Melissa,Luisa,Kelsey,"fiesty, keel muscular",,,,
Ceviche,A020YG,A,020,Y,G,A020YG,CL05,SkySpace,"33.4193933, -111.9267150",yes,yes,A,F,yes,160,66,94,136mm,140mm,123mm (see note),129mm,34.9mm,33.4mm,31.8mm,NA,NA,30.5mm,39%,39%,39%,,,1-Aug-2018,9:24a,Bownet,Elysia,Luisa,Zoe,,"lost several tail feathers in the tent, collected them and put in bag. The retrices measured may not be the central ones.",,,,
Chalupa,A025GO,A,025,G,O,CL06,CL04,Avary,,yes,yes,A,F,yes,-,-,-,139mm,140mm,121mm,120mm,43.3mm,42.1mm,34.2mm,NA,NA,29.1mm,50%,50%,50%,0,,18-Jan-2019,11:30a,-,TJ,TJ,Luisa,,Keel still feels prominent.  Her toe nail got caught under her green band?!?! Maybe when she escaped in tent because she seemed fine in the aviaries.  Replaced her green band with a new one - number 21,20 Sept 18,20 Jan 19,149.562,
Chalupa,A025GO,A,025,G,O,CL06,CL04,Wilson Hall,"33° 25' 6.66"", 111° 56' 11.54""",yes,yes,A,F,yes,168,75,93,134mm,136mm,92mm,90mm,36.6mm,36.45mm,29.5mm,NA,NA,36.05mm,38%,39%,38%,1,,20 Sept 18,10:30a,Bownet,Kelsey,Kelsey,Luisa,Mike and Elysia,keel feels muscular,20 Sept 18,20 Jan 19,,
Chancaca,A049BA,A,049,B,A,CL15,CL01,Light Rail,"33.420082, -111.926550",yes,yes,A,F,yes,150,64,86,144mm,143mm,145mm,143mm,36.8mm,35.2mm,30.4mm,NA,NA,30.7mm,28%,27%,28%,1,,11-Mar-2019,10:23a,Mist net,Kelsey,Kelsey,Luisa,,keel pokey,07 Mar 19,7 September 19,,
Chancaca,A049BA,A,049,B,A,CL15,CL01,Aviary,,yes,yes,A,F,yes,-,-,-,139mm,140mm,141mm,141mm,38.9mm,38.9mm,30.2mm,NA,NA,32.2mm,39%,40%,41%,0,,20-May-2019,9:30a,-,Amanda,Melissa,Kelsey,Luisa,,,,,
Chilaquile,A086GB,A,086,G,B,CL11,CL12,Wilson,,yes,no,J,M,no,215,73,142,160mm,162mm,12.5mm,13.1mm,42.4mm,43.5mm,-,-,-,-,50%,51%,50%,0,,13-Nov-2019,10:40-11:37,bownet,Melissa,Melissa,Kelsey,-,didn't finish measurements because of stress,13-Nov-2019,7-Jan-2020,148.055,"Lost harness, noticed 1 Mar 2020"
Chilaquile ,A086GB,A,086,G,B,CL11,CL12,Aviary ,,Yes,Yes,A,M,Yes,,,,165mm,166m,15.9mm,16.0mm,41.9mm,42.8mm,35.9mm,7.0mm,10.9mm,33.5mm,45%,45%,44%,3.5,,7-Jan-2020,11:30 - 12:15,Aviary ,Melissa ,Melissa ,Kelsey ,-,"3.5 for fat because the fat is going into the shoulders, but there's little fat around the pubic region.",13-Nov-2019,7-Jan-2020,148.055,"Lost harness, noticed 1 Mar 2020"
Chile,A009-L,A,009,-,L,,CL26,Psychology North,,yes,yes,A,M,yes,250,67,183,173mm,178mm,164mm,166mm,43.7mm,41.7mm,42.0mm,NA,NA,29.1mm,44%,44%,44%,,,24-Apr-2018,1:37 PM,Bownet,Zoe,Luisa,Carol,,"hard biter, bled out more than we needed, lost approximately the equal amount to what we collected. ",,,,
Chile,A009-L,A,009,-,L,-,CL24,Psychology North,"33.419703, -111.929471",yes,yes,A,M,yes,245,74,171,181mm,180mm,191mm,191mm,48.0mm,47.3mm,41.8mm,NA,NA,32.8mm,44%,45%,45%,?,,17-Jun-2019,7:30a,mist net,Melissa,Melissa,Kelsey,-,Changed out his black band because his old one was turning silver. Forgot to get fat score?,,,,
Chimichanga,A023OY,A,023,O,Y,CL05,CL04,Aviary,,yes,yes,A,F,yes,170,74,96,139mm,136mm,123mm,124mm,36.9mm,35.4mm,32.4mm,NA,NA,32.9mm,50%,50%,50%,0,,30-Nov-2018,11:40 AM,-,Adriana,Kelsey,Luisa,,"Muscular, fiesty",18 Sept 18,30 Nov 18,,
Chimichanga,A023OY,A,023,O,Y,CL05,CL04,Matthews,"33.419998, -111.935177",yes,yes,A,F,yes,175,75,100,136mm,138mm,missing (see note),23.1mm,30.06mm,30.09mm,32.6mm,NA,NA,32.8mm,38%,39%,38%,1,,18 Sept 18,8:45a,Mist net,Elysia,Kelsey,Luisa,Corina,growing new tail,18 Sept 18,30 Nov 18,,
Cochinita,A039YR,A,039,Y,R,CL11,CL10,Noble,"33.419702, -111.930282",yes,yes,A,F,yes,164,75,89,147mm,145mm,142mm,146mm,34.0mm,35.1mm,34.5mm,NA,NA,34.8mm,44%,44%,43%,0,,29-Oct-2018,11:30a,mist net,Kelsey,Kelsey,Luisa,,"Keel really prominent, might have pox on feet?",,,,
Concha,A093AO,A,093,A,O,CL09,CL18,Social Sciences,,yes,yes,A,F,no,165,74,91,143mm,144mm,11.1mm,13.1mm,40.3mm,40.1mm,34.3mm,7.8mm,9.7mm,33.7mm,40%,40%,39%,0,,8-Jan-2020,11:50 - 12:40,mist net,Melissa,Melissa,Kelsey,-,"extra long toenails on L foot, R foot was missing a 1 toenail.",08-Jan-2020,,148.542,24-May-20 found harness on ground in Methodist church courtyard
Concha,A093AO,A,093,A,O,CL09,CL18,Aviary,,yes,yes,A,F,yes,170,74,96,145mm,146mm,10.1mm,11.9mm,41.6mm,40.8mm,34.2mm,8.0mm,10.0mm,34.0mm,46%,47%,47%,2,,16-Feb-2020,09:20-10:07,aviary,Melissa,Melissa,Kelsey,,"extra long toenails on L foot, R foot was missing a 1 toenail.",8 Jan 2020,16 Feb 2020,148.542,24-May-20 found harness on ground in Methodist church courtyard
Conejita,A067GK,A,067,G,K,CL13,CL04,SHESC,,yes,yes,J,F,yes,160,75,85,128mm,129mm,108mm,107mm,37.3mm,40.1mm,25.1mm,5.2mm,8.2mm,32.1mm,48%,47%,47%%,1,,29-Sept-2019,6:45a,mist net,Melissa,Melissa,Kelsey,-,"Found dead 14 Oct, Hayden Library trash can",,,,
Crema,A058BS,A,058,B,S,CL20,CL09,Light Rail,"33.420431, -111.927529",yes,yes,A,F,yes,170,72,98,144mm,140mm,135mm,131mm,35.0mm,35.1mm,30.2mm,NA,NA,34.6mm,53%,54%,54%,1,,16-Apr-2019,9:30a,Bownet,Kelsey/Luisa,Luisa,Kelsey,,"Walks stiffly, may have old injury on right leg",,,,
Cúrcuma ,A083YK,A,083,Y,K,CL13,CL06,Crepe Club,,yes,yes,J,F,yes,157,74,83,135mm,136mm,11.1mm,11.1mm,39.5mm,40.3mm,28.5mm,6.9mm,9.6mm,31.9mm,46%,46%,46%,0,,5-Nov-2019,6:50-8:21,mist net,Melissa,Melissa,Kelsey,-,,,,,
Diablo,A064LR,A,064,L,R,CL17,CL22,Aviary,,yes,yes,A,M,yes,-,-,-,180mm,181mm,19.5mm,19.6mm,46.5mm,46.0mm,38.4mm,8.7mm,12.0mm,36.6mm,53%,52%,53%,0.5,,22-Dec-2019,11:27-12:12,aviary,Melissa,Melissa,Kelsey,,,18-Sep-2019,22-Dec-2019,148.19,"broke his harness, last seen with it 16 Jan 2020"
Diablo,A064LR,A,064,L,R,CL17,CL22,Social Sciences,"33.420206, -111.934716",yes,yes,A,M,yes,242,65,177,176mm,180mm,167mm,135mm,45.3mm,46.5mm,38.8mm,8.2mm,11.8mm,39.1mm,47%,48%,48%,0,,18-Sept-2019,9:28 - 10:30,mist net,"Maggie, Melissa","Maggie, Melissa",Kelsey,Maggie,"molting, pin feathers showing on head",18 Sep 19,22 Dec 2019,148.19,"broke his harness, last seen with it 16 Jan 2020"
Elote,A091YO,A,091,Y,O,CL10,CL08,Wrigley,,yes,yes,A,F,yes,162,75,87,129mm,131mm,11.6mm,11.6mm,37.1mm,37.7mm,30.5mm,7.9mm,10.2mm,31.1mm,-,-,-,0,,23-Dec-2019,9:10-10:15,bownet,Melissa,Melissa,Kelsey,,,"23-Dec-2019 n=23 aviary grackles for 2019, n=47 grackles trapped in 2019",27-Feb-2020,149.742,4-Mar-2020 broke antenna off tag
Elote,A091YO,A,091,Y,O,CL10,CL08,Aviary,,yes,yes,A,F,yes,-,-,-,135mm,134mm,11.1mm,11.4mm,36.2mm,36.0mm,30.8mm,6.6mm,9.6mm,31.4mm,55%,55%,55%,0,,27-Feb-2020,14:44 - 15:15,mist net,Kelsey/Maggie,Kelsey,Maggie,Sam released,,23-Dec-2020,27-Feb-2020,149.742,4-Mar-2020 broke antenna off tag
Empanada,A001YP,A,001,Y,P,CL01,CL01,Chompies,,C+M,Yes,A,F,Yes,160,64,96,144mm,147mm,140mm,140mm,37.4mm,37.5mm,34.1mm,NA,NA,28.2mm,41,40,41,,,25-Jan-2018,2:30p,Walk in,Zoe,Luisa,Carol,Corina,"Bright yellow eyes and size = adult female. Right ankle swollen and whiteish (took picture). Did NOT collect blood within 3 min of capture (more like 10-15min and it took about 10 min to collect the blood because we used 4 veins: both wings and both legs). Really quiet, calm bird - didn't fight or bite and didn't move around in the cat carrier. Habituated to the aviary within a few minutes: didn't hit the ceiling, but looked out. Didn't fly around much, interested in watching us in the aisle. Bill only open for the first minute or so.",25 Jan 18,13 Apr 18,,
Empanada,A001YP,A,001,Y,P,CL01,CL01,Aviary,,Yes,Yes,A,F,yes,162,66,96,142mm,144mm,143mm,143mm,34.2mm,32.4mm,36.1mm,NA,NA,27.9mm,47%,46%,46%,,,13-Apr-2018,9:45 AM,-,Zoe,Luisa,Carol,,appeared to have more white feathers/whiter feathers around her eyes since trapping,,,,
Enchilada,A069ON,A,069,O,N,CL14,CL03,SHESC,,yes,yes,A,F,yes,181,109,72,133mm,136mm,27mm,30mm,39.9mm,39.6mm,32.0mm,7.4mm,9.9mm,32.9mm,-,-,-,1,,1-Oct-2019,6:40 - 7:49,mist net,Melissa,Melissa,Kelsey,-,molting tail feathers,,,,
Ensalada ,A048NR,A,048,N,R,CL02,CL12,Wilson,"33.418529, -111.937009",No,No,A,F,Yes,169,75,94,138mm,145mm,145mm,143mm,30.6mm,31.9mm,36.2mm,NA,NA,30.4mm,-,-,-,1,,5-Mar-2019,12:00p,Mist net,Luisa,Melissa,-,,lab closed today so did not collect blood and feathers. Accidentally caught during mist net training. Found dead 28 April or earlier,,,FOUND DEAD 29 April 2019 - see Salvage data sheet,
Fajita,A002PB,A,002,P,B,CL02,CL01,Chompies,,No. See notes.,Yes,A,F,no,156,64,92,135mm,134mm,119mm,115mm,32.9mm,34mm,31.1mm,NA,NA,24mm,See notes,See notes,See notes,,,31-Jan-2018,3:05p,Walk in,Zoe,Luisa,Carol,,"More fiesty than Empanada, lots of biting and fidgeting during processing, got out of hand inside tent but was recaught quickly. We were not able to collect enough blood in field or in aviary the next day--will reattempt to collect blood on 6 Feb 2018. Collected blood (how much?) on 6 Feb 2018 at what time? from both wing veins",31 Jan 18,13 Apr 18,,
Fajita,A002PB,A,002,P,B,CL02,CL01,Aviary,,green microtainer,yes,A,F,yes,150,66,84,132mm,129mm,120mm,120mm,34.5mm,34.1mm,31.3mm,NA,NA,25.1mm,-,-,-,,,13-Apr-2018,10:23 AM,-,Zoe,Luisa,Carol,,"were not able to collect enough blood due to hematomas in both wings, only collected enough to fill green microtainer.",,,,
Fideo,A044KS,A,044,K,S,CL20,CL03,Light Rail,"33.420431, -111.927529",yes,yes,A,M,yes,245,75,170,177mm,175mm,186mm,178mm,46.1mm,48.2mm,38.5mm,NA,NA,33.3mm,44%,44%,44%,0,,18-Jan-2019,10:15a,bownet,TJ,Kelsey,Luisa,,Keel very muscular,18 Jan 19,,,
Fideo,A044KS,A,044,K,S,CL20,CL03,Aviary,,yes,yes,A,M,yes,-,-,-,172mm,173mm,181mm,183mm,47.0mm,48.3mm,41.9mm,NA,NA,34.8mm,56%,55%,57%,0,,3-Jun-2019,9:20a,-,Kelsey/Amanda,Kelsey/Amanda,Luisa,-,,18 Jan 19,03-June-19,149.21,
Flauta,A005RG,A,005,R,G,CL02,CL01,Chompies,,yes,yes,A,F,yes,162,66,96,130mm,130mm,113mm,113mm,33.7mm,33.8mm,32.4mm,NA,NA,24.5mm,45%,44%,44%,,,17-Apr-2018,2:03p,Bownet,Zoe,Luisa,Carol,,projectile pooper,,,,
Fresca,A037BY,A,037,B,Y,CL09,CL09,Daley Park,"33.409864, -111.934386",Yes,Yes,A,F,Yes,166,74,92,141mm,139mm,134mm,135mm,32.0mm,32.0mm,32.2mm,NA,NA,34.8mm,42%,43%,42%,0,,24-Oct-2018,12:41p,Mist net,"Kelsey, Luisa",Kelsey,Luisa,Corina,Keel not that prominent,24 Oct 18,14 Feb 19,,
Fresca,A037BY,A,037,B,Y,CL09,CL09,Aviary,,yes,yes,A,F,yes,-,-,-,142mm,153mm,132mm,132mm,36.3mm,37.0mm,32.9mm,NA,NA,31.3mm,32%,32%,32%,0,,14-Feb-2019,11:15a,-,Kelsey/Adriana,Kelsey/Adriana,Luisa,Melissa,keel muscular,24 Oct 18,14 Feb 19,,
Frijoles,A072KB,A,072,K,B,CL07,CL16,Skyspace,,yes,yes,A,F,yes,172,74,98,134mm,134mm,59mm,83mm,38.2mm,38.1mm,29.3mm,8.2mm,10.4mm,32.1mm,-,-,-,1,,3-Oct-2019,7:33 - 8:41,mist net,Melissa,Melissa,Kelsey,-,,,,,
Galleta,A059NB,A,059,N,B,CL07,CL17,Wilson,"33.418170, -111.936097",yes,yes,A,F,yes,165,75,90,138mm,138mm,138mm,138mm,34.7mm,35.1mm,30.5mm,NA,NA,28.0mm,48%,48%,48%,0,,23-Apr-2019,10:03a,mist net,Melissa,Melissa,Kelsey,,Egg in stomach,,,,
Gordita,A003BO,A,003,B,O,CL02,CL01,East Athletic Field,,Yes,Yes,A,F,yes,160,70,90,135mm,140mm,114mm,113mm,34.0mm,32.8mm,33.2mm,NA,NA,23.7mm,43%,43%,43%,,,28-Mar-2018,10:38a,Walk in,Zoe,Luisa,Carol,Sofija,"Bottom bill slightly misaligned to the right, took photos but not clearly seen in pictures. Drew blood from both wings, the right wing did not hematoma on first attempt so tried again after about 5 minutes and got needed amount. Released at capture site after processing at 11:36a.",,,,
Guacamole,A098RR,A,098,R,R,CL08,CL09,Skyspace,,yes,yes,A,M,yes,264,102,162,166mm,168mm,15.7mm,15.0mm,47.1mm,46.1mm,38.1mm,8.6mm,10.7mm,34.8mm,53%,53%,53%,0,,27-Feb-2020,13:05 - 14:15,mist net,Kelsey/Maggie,Kelsey,Maggie,,,27-Feb-2020,,148.304,16-Apr-2020 seen without radio tag
Guacamole,A098RR,A,098,R,R,CL08,CL09,Aviary,,yes,yes,A,M,yes,-,-,-,158mm,163mm,14.9mm,15.4mm,47.1mm,47.3mm,41.8mm,9.8mm,11.4mm,32.4mm,42%,43%,42%,4,,19-Apr-2020,08:36-09:26,aviary,Melissa/ Kelsey,Melissa,Kelsey,-,,27-Feb-20,19-Apr-20,148.304,16-Apr-2020 seen without radio tag
Guapo,A055YO,A,055,Y,O,CL10,CL08,Chompies,"33.422200, -111.919458",yes,yes,A,M,yes,255,65,190,176mm,177mm,179mm,180mm,45.8mm,43.8mm,40.0mm,NA,NA,34.3mm,46%,46%,46%,0,,4-Apr-2019,2:50p,mist net,Rita/Melissa,Melissa/Kelsey,Kelsey,-,,,,,
Habanero,A036R-,A,036,R,-,CL25,-,Daley Park,"33.409864, -111.934386",Yes,Yes,A,M,Yes,230,75,155,173mm,175mm,160mm,160mm,42.9mm,44.8mm,42.5mm,NA,NA,38.9mm,-,-,-,1,,24-Oct-2018,11:40a,Mist net,"Kelsey, Luisa",Kelsey,Luisa,Corina,Keel more muscled but still noticeable; Also fiesty but not as much as Mole,24 Oct 18,24 Apr 19,,
Habanero,A036R-,A,036,R,-,CL25,-,Aviary,,yes,yes,A,M,yes,-,-,-,173mm,173mm,174mm,173mm,43.0mm,42.0mm,42.0mm,NA,NA,34.0mm,48%,48%,48%,1,,24-Apr-2019,9:45a,-,Jennifer,Kelsey,Luisa,Gus,Used Holohil tags with embedded tubes and shorter battery life,24 Oct 18,24-Apr-19,149.39,5 June 2019
Huachinango,A089GY,A,089,G,Y,CL09,CL12,Wrigley,,yes,yes,A,M,yes,226,61,165,170mm,170mm,13.2mm,16.8mm,44.2mm,42.0mm,42.5mm,9.5mm,12.0mm,36.7mm,44%,44%,44%,0,,17-Dec-2019,8:00-8:59,bownet,Melissa,Melissa,Kelsey,,,17-Dec-2019,19 Mar 2020,148.615,14-Apr-2020
Huachinango,A089GY,A,089,G,Y,CL09,CL12,Aviary,,yes,yes,A,M,yes,-,-,-,172mm,173mm,12.6mm,15.7mm,44.9mm,44.2mm,43.0mm,8.9mm,11.6mm,35.6mm,47%,47%,48%,0,,19-Mar-2020,12:10-13:00,aviary,Melissa/ Kelsey,Melissa,Kelsey,Sam released,"top crimp bead not completely next to tag, left retrix small (new) ",-,19-Mar-20,148.615,14-Apr-2020
Jamaica,A026PP,A,026,P,P,CL07,CL08,Aviary,,Yes,Yes,A,F,Yes,170,75,95,142mm,148mm,105mm,115mm,34.0mm,34.9mm,33.6mm,NA,NA,32.0mm,51%,50%,50%,1,,24-Oct-2018,12:15p,-,"Kelsey, Luisa",Kelsey,Luisa,Corina,Keel still a little prominent,,,,
Jamaica,A026PP,A,026,P,P,CL07,CL08,Wilson Hall,"33° 25' 6.66"", 111° 56' 11.54""",yes,yes,A,F,yes,175,75,100,147mm,143mm,53mm,66mm,32.8mm,32.95mm,32.35mm,NA,NA,33.8mm,36%,37%,37%,1,,24 Sept 18,8:50a,Bownet,Kelsey/Rita,Kelsey,Luisa,Corina,"growing new tail, keel feels muscular",24 Sept 18,24 Oct 18,,
Kentucky,A066KY,A,066,K,Y,CL12,CL16,Wells Fargo Arena,"33.424108, -111.930218",yes,yes,A,F,yes,165,74,91,134mm,133mm,97mm,95mm,44.1mm,44.0mm,31.1mm,8.8mm,9.8mm,32.2mm,38%,38%,38%,0,,19-Sept-2019,6:28 - 8:00,mist net,Melissa,Melissa,Kelsey,Maggie,,,,,
Lechuga,A078GS,A,078,G,S,CL20,CL06,Skyspace,,yes,yes,A,F,yes,169,74,95,138mm,139mm,13.0mm,13.1mm,40.2mm,38.5mm,30.6mm,6.1mm,8.4mm,31.5mm,48%,48%,49%,0,,14-Oct-2019,12:58-2:00,mist net,Melissa,Melissa,Kelsey,-,,,,,
Limon ,A085NY,A,085,N,Y,CL6,CL14,Crepe Club,,yes,yes,A,F,yes,168,70,98,147mm,146mm,13.6mm,13.6mm,38.7mm,39.8mm,30.1mm,7.4mm,8.4mm,31.6mm,52%,52%,53%,1,,6-Nov-2019,7:02-9:04,mist net,Melissa,Melissa,Kelsey,-,,,,,
Mangonada,A061PR,A,061,P,R,CL11,CL11,SkySpace,"33.419480, -111.926639","yes, see note",yes,A,F,yes,205,105,100,145mm,146mm,148mm,145mm,41.0mm,41.0mm,34.7mm,NA,NA,29.5mm,35%,35%,34%,0,,23-May-2019,11:45a,mist net,Melissa,Melissa/Luisa did blood,Luisa,Michael,"dry flaky skin, could not collect enough blood to fill green tube",,,,
Marisco,A075Y-,A,075,Y,-,CL25,-,RBHL,,yes - only enough for red tube and PAX,yes,A,M,yes,218,74,144,166mm,179mm,1.5mm,0.8mm,47.0mm,46.4mm,39.1mm,8.6mm,11.6mm,36.6mm,-,-,-,0,,10-Oct-2019,8:00-8:45,mist net,Melissa,Melissa,Kelsey,-,"very skinny, looked lethargic before capturing; just growing tail back in",10-Oct-2019,19 Mar 2020,148.365,Still on 27 June
Marisco,A075Y-,A,075,Y,-,CL25,-,Aviary,,yes,yes,A,M,yes,-,-,-,172mm,172mm,19.4mm,19.2mm,47.6mm,46.7mm,39.2mm,9.0mm,11.8mm,36.6mm,48%,49%,48%,0,,19-Mar-2020,10:29-11:14,aviary,Melissa/ Kelsey,Melissa,Kelsey,Emily released,,-,19-Mar-20,148.365,Still on 27 June
